time	round	division	title	status	score	file	liveStats	video	boxScore	photos	quotes
2021-05-19T11:25-04:00	QF          	Women	<b>#6 N.C. State</b> vs #3 Georgia                	final	4-2       	../ncaaw/matches/R4_17-24_NCST_vs_UGA	http://scores.tennisticker.de/usa/ustanc/conf/league/sb.html?tournid=785&clubid=255-286&cn1=Georgia&cn2=NC%20State&ci1=255&ci2=286&lid=83	https://t1.app.link/ncaachampionships	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/WQFNCSUUGA.pdf	https://www.ustanationalcampus.com/en/home/news/2021-ncaa-tickets/2021-womens-qf-session-one-photos.html	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/WQFNCSUUGAQuotes.pdf
2021-05-19T14:00-04:00	QF          	Women	#7 Florida State vs <b>#2 Texas</b>               	final	4-0       	../ncaaw/matches/R4_25-32_FSU_vs_TEX	http://scores.tennisticker.de/usa/ustanc/conf/league/sb.html?tournid=787&clubid=265-241&cn1=Texas&cn2=Florida%20State&ci1=265&ci2=241&lid=83	https://t1.app.link/ncaachampionships	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/WQFTEXFSU.pdf	https://www.ustanationalcampus.com/en/home/news/2021-ncaa-tickets/2021-womens-qf-session-one-photos.html	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/WQFTEXFSUQuotes.pdf
2021-05-19T17:30-04:00	QF          	Women	#5 Pepperdine vs #4 UCLA                          	pre  	UCLA (52%)	../ncaaw/matches/R4_9-16_PEPP_vs_UCLA	http://scores.tennisticker.de/usa/ustanc/conf/league/sb.html?tournid=786&clubid=283-733&cn1=USC&cn2=Pepperdine&ci1=283&ci2=733&lid=83	https://tennischannel.com/?utm_source=tennis-dot-com&utm_medium=navigation	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/WQFPEPPUCLA.pdf		
2021-05-19T19:30-04:00	QF          	Women	Duke vs #1 North Carolina                         	in-progress	UNC (97%) 	../ncaaw/matches/R4_1-8_DUKE_vs_UNC	http://scores.tennisticker.de/usa/ustanc/conf/league/sb.html?tournid=784&clubid=584-581&cn1=UNC&cn2=Duke&ci1=584&ci2=581&lid=83	https://tennischannel.com/?utm_source=tennis-dot-com&utm_medium=navigation			
