time	round	division	title	status	score	file	liveStats
2021-05-17T10:00-04:00	3rd         	Men  	#11 Georgia vs #6 North Carolina                  	pre  	UNC (87%) 	../ncaam/matches/R3_31-36_UGA_vs_UNC	
2021-05-17T10:00-04:00	3rd         	Men  	Arizona vs #3 Tennessee                           	pre  	TENN (93%)	../ncaam/matches/R3_25-30_ARIZ_vs_TENN	
2021-05-17T13:00-04:00	3rd         	Men  	Ohio State vs #7 TCU                              	pre  	OSU (57%) 	../ncaam/matches/R3_37-42_OSU_vs_TCU	
2021-05-17T16:00-04:00	3rd         	Men  	#12 USC vs #5 Virginia                            	pre  	UVA (71%) 	../ncaam/matches/R3_13-18_USC_vs_UVA	
2021-05-17T16:00-04:00	3rd         	Men  	#13 South Carolina vs #4 Texas                    	pre  	TEX (63%) 	../ncaam/matches/R3_19-24_SCAR_vs_TEX	
2021-05-17T19:00-04:00	3rd         	Men  	#16 Illinois vs #1 Florida                        	pre  	FLA (71%) 	../ncaam/matches/R3_1-6_ILL_vs_FLA	
2021-05-17T19:00-04:00	3rd         	Men  	Mississippi State vs #8 Texas A&M                 	pre  	A&M (86%) 	../ncaam/matches/R3_7-12_MSST_vs_AM	
