seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
 1	UNC  	Sara Daavettila              	16	 1	  3	99.731	  2	 99.913	  5	 99.241	  1	9.107	  7	11.03	  2	64.167	400079	337265	  46642
 1	UNC  	Alexa Graham                 	12	 2	  8	98.839	 12	 96.270	  7	 97.942	 11	8.483	  6	11.13	 38	15.028	411298	337263	  39501
 1	UNC  	Fiona Crawley                	27	 0	 16	97.934	 18	 95.543	 32	 95.823	  6	8.690	 33	10.76	 33	16.886	564453	337044	1609669
 1	UNC  	Makenna Jones                	15	 2	 28	97.088	 25	 95.035	 44	 94.990	 16	8.302	 41	10.69	 29	18.391	419691	337045	1500488
 1	UNC  	Cameron Morra                	15	 6	 32	96.772	 45	 93.938	 26	 96.122	 39	7.949	 32	10.77	 24	20.000	488643	337267	  94694
 1	UNC  	Elizabeth Scotty             	13	 3	 40	96.050	 43	 94.095	 40	 95.323	 31	8.079	 22	10.83	 82	 5.927	520732	337039	  70039
 1	UNC  	Reilly Tran                  	17	 0	 71	92.471	 82	 92.424	 95	 93.245	 21	8.227	154	10.23	 96	 4.914	564465	337046	2588539
 1	UNC  	Anika Yarlagadda             	13	 1	 84	91.370	 79	 92.478	102	 93.115	 51	7.826	128	10.31	 91	 5.389	510762	337043	  95680
 1	UNC  	Alle Sanford                 	 5	 2	250	74.497	289	 87.093	291	 88.722	233	6.663	207	10.04	266	 2.103	448680	337041	1872200
 1	UNC  	Kacie Harvey                 	 3	 1	355	65.338	382	 84.499	364	 87.126	332	6.038	273	 9.76	397	 1.485	510761	337038	 223145
 1	UNC  	Sara McClure                 	 0	 1	483	54.999	539	 63.762	411	 85.224	   	     	391	 9.14	   	      	564464	      	  96425
 1	UNC  	Sophia Patel                 	 0	 2	495	53.648	539	 63.762	548	 66.266	425	5.397	424	 8.93	   	      	486925	337040	1620214
 2	TEX  	Lulu Sun                     	19	 2	 11	98.612	 19	 95.342	 28	 96.015	 17	8.277	  1	11.48	 57	 9.341	562075	337206	2031220
 2	TEX  	Peyton Stearns               	14	 6	 15	97.973	 27	 94.947	 18	 96.797	 23	8.182	  9	11.01	 34	16.379	562074	336655	2588012
 2	TEX  	Charlotte Chavatipon         	25	 1	 17	97.925	 15	 96.037	 27	 96.082	  9	8.549	 16	10.90	 66	 7.865	562071	336664	  96391
 2	TEX  	Anna Turati                  	17	 3	 22	97.676	 28	 94.916	 20	 96.685	 27	8.107	 14	10.92	 32	17.309	459000	337207	  64382
 2	TEX  	Kylie Collins                	17	 2	 41	96.010	 49	 93.787	 64	 94.305	 24	8.165	 21	10.85	 64	 8.042	564774	337208	2154945
 2	TEX  	Malaika Rapolu               	25	 2	 75	91.823	 65	 92.876	 98	 93.174	 54	7.794	 85	10.44	125	 3.640	562073	336666	 129177
 2	TEX  	Fernanda Labraña             	22	 2	 77	91.697	 54	 93.434	100	 93.150	 67	7.644	101	10.40	108	 4.276	424273	336661	1742438
