matchNum	line		round	date	time	seed	team	last	name	set1	set1tb	set2	set2tb	set3	set3tb	set4	set4tb	set5	set5tb	sets	def	x	y	rating	ewp	utr		ita	teamId	tickerName	id
422	1		64	5/23/2021	10:00am		MICH	Miller	Kari Miller	6		6								2		◀		96.51	71%	10.76	57	30		Kari Miller	564380
422	2		64	5/23/2021	10:00am	9	GT	Flores	Victoria Flores	4		4								0				94.92	29%	10.68	13	52		Victoria Flores	407152
423	1		64	5/23/2021	12:00pm		ARK	Spink	Indianna Spink	2		2								0				93.88	9%	10.39	45	87		Indianna Spink	561985
423	2		64	5/23/2021	12:00pm		ORE	Tjen	Janice Tjen	6		6								2		◀		97.82	91%	10.70	17	11		Janice Tjen	565743
424	1		64	5/23/2021	12:00pm		UCSB	Khatmova	Shakhnoza Khatmova	1		6	5							0				92.30	1%	10.12	86	72		Shakhnoza Khatmova	510745
424	2		64	5/23/2021	12:00pm	4	UGA	Jokic	Katarina Jokic	6		7	7							2		◀		99.69	99%	11.29	4	3		Katarina Jokic	419539
425	1		64	5/23/2021	11:30am		SCAR	Horvit	Mia Horvit	7		6								2		◀		95.29	57%	10.67	30	61		Mia Horvit	416702
425	2		64	5/23/2021	11:30am		VCU	Delgado	Paola Delgado	5		0								0				94.80	43%	10.43	92	41		Paola Delgado	401582
426	1		64	5/23/2021	11:30am		MSST	Antonaki	Emma Antonaki	6		6								2		◀		93.57	17%	10.23	33	71		Emma Antonaki	486811
426	2		64	5/23/2021	11:30am	9	FSU	Pairone	Giulia Pairone	4		4								0				96.38	83%	10.70	12	36		Giulia Pairone	564449
427	1		64	5/23/2021	3:30pm		UNC	Morra	Cameron Morra	2		3								0				95.94	32%	10.75	27	47		Cameron Morra	488643
427	2		64	5/23/2021	3:30pm		OSU	Siemers	Irina Cantos Siemers	6		6								2		◀		97.23	68%	10.80	18	14		Irina Cantos Siemers	511553
428	1		64	5/23/2021	4:00pm		DUKE	Beck	Chloe Beck	3		6	5							0				94.72	5%	10.60	39	58		Chloe Beck	514741
428	2		64	5/23/2021	4:00pm	7	UCLA	Forbes	Abigail Forbes	6		7	7							2		◀		100.00	95%	11.21	7	4		Abigail Forbes	512054
429	1		64	5/23/2021	10:00am		UNC	Graham	Alexa Graham	6		6								2		◀		97.80	86%	11.07	41	13		Alexa Graham	411298
429	2		64	5/23/2021	10:00am		UK	Parazinskaite	Akvilė Paražinskaitė	1		0								0				94.59	14%	10.47	28	57		Akvile Parazinskaite	439682
430	1		64	5/23/2021	10:00am		UCF	Zeleva	Valeriya Zeleva	7		4		1						1				96.41	60%	10.52	22	22		Valeriya Zeleva	497367
430	2		64	5/23/2021	10:00am	9	UVA	Subhash	Natasha Subhash	5		6		6						2		◀		95.73	40%	10.76	9	37		Natasha Subhash	511574
431	1		64	5/23/2021	5:30pm		A&M	Makarova	Tatiana Makarova	2		3								0				95.64	38%	10.80	25	32		Tatiana Makarova	514440
431	2		64	5/23/2021	5:30pm		TEX	Stearns	Peyton Stearns	6		6								2		◀		96.48	62%	10.95	37	33		Peyton Stearns	562074
432	1		64	5/23/2021	4:00pm		USC	Ewing	Salma Ewing	2		3								0				95.23	10%	10.83	42	20		Salma Ewing	485966
432	2		64	5/23/2021	4:00pm	2	MIA	Perez-Somarriba	Estela Perez-Somarriba	6		6								2		◀		98.97	90%	11.11	1	6		Estela Perez-Somarriba	440887
501	1		32	5/24/2021		1	UNC	Daavettila	Sara Daavettila	6		6								2		◀		99.25	82%	10.96	2	1		Sara Daavettila	400079
501	2		32	5/24/2021			UGA	Ma	Lea Ma	4		4								0				96.61	18%	10.77	55	26		Lea	513316
502	1		32	5/24/2021			ODU	Starodubsteva	Yulia Starodubsteva	0		0								0				92.91	5%	10.36	51	105		Yulia Starodubsteva	454355
502	2		32	5/24/2021			PEPP	Failla	Jessica Failla	6		6								2		◀		97.91	95%	11.03	21	9		Jessica Failla	405704
503	1		32	5/24/2021		8	FLA	Kessler	McCartney Kessler	4		4								0				97.90	81%	10.89	8	10		McCartney Kessler	421536
