notes	seed	line	last	id	teamId	team	name	wins	losses	slamRnk	slam	itaRnk	ita	utr	texas	tickerName	masseyId	utrId
AQ		47	Khatmova	510745		UCSB	Shakhnoza Khatmova	15	2	138	92.302	86	6.054	10.12	72	Khatmova, Shakhnoza (CSB)	339479	2527560
AQ	4	48	Jokic	419539		UGA	Katarina Jokic	24	1	3	99.691	4	60.556	11.29	3	Jokic, Katarina (UGA)	336778	2583619
		49	Horvit	416702		SCAR	Mia Horvit	11	9	43	95.287	30	18.779	10.67	61	Horvit, Mia (SC)	336842	41792
AQ		50	Delgado	401582		VCU	Paola Delgado	16	3	54	94.796	92	5.711	10.43	41	Delgado, Paola (VCU)	337452	1712174
		51	Antonaki	486811		MSST	Emma Antonaki	16	4	86	93.567	33	17.808	10.23	71	Antonaki, Emma (MSU)	337051	2666454
	9	52	Pairone	564449		FSU	Giulia Pairone	13	8	26	96.381	12	30.674	10.7	36	Pairone, Giulia (FSU)	337323	11197
		53	Morra	488643		UNC	Cameron Morra	15	6	32	95.941	27	20	10.75	47	Morra, Cameron (UNC)	337267	94694
		54	Siemers	511553		OSU	Irina Cantos Siemers	18	5	15	97.225	18	24.34	10.8	14	Siemers, Irina (OSU)	337123	2523252
		55	Beck	514741		DUKE	Chloe Beck	17	4	55	94.719	39	15.347	10.6	58	Beck, Chloe (DUK)	336991	95651
AQ	7	56	Forbes	512054		UCLA	Abigail Forbes	18	2	1	100	7	46.463	11.21	4	Forbes, Abigail (CLA)	337617	1682354
		57	Graham	411298		UNC	Alexa Graham	11	2	11	97.8	41	15.028	11.07	13	Graham, Alexa (UNC)	337263	39501
		58	Parazinskaite	439682		UK	Akvilė Paražinskaitė	19	10	58	94.585	28	19.849	10.47	57	Parazinskaite, Akvile (UK)	336783	1885635
AQ		59	Zeleva	497367		UCF	Valeriya Zeleva	12	2	25	96.41	22	22.658	10.52	22	Zeleva, Valeriya (UCF)	337581	1440881
	9	60	Subhash	511574		UVA	Natasha Subhash	15	5	34	95.727	9	40	10.76	37	Subhash, Natasha (UVA)	337047	2511980
		61	Makarova	514440		A&M	Tatiana Makarova	23	6	37	95.636	25	21.857	10.8	32	Makarova, Tatiana (TAM)	336817	161923
		62	Stearns	562074		TEX	Peyton Stearns	14	6	24	96.484	37	16.379	10.95	33	Stearns, Peyton (TEX)	336655	2588012
		63	Ewing	485966		USC	Salma Ewing	13	5	44	95.233	42	14.556	10.83	20	Ewing, Salma (USC)	337683	67767
	2	64	Perez-Somarriba	440887		MIA	Estela Perez-Somarriba	19	2	6	98.973	1	69.452	11.11	6	Perez-Somarriba, Estela (MIA)	337439	150205
Alt.			Chi	396854		DUKE	Meible Chi	21	3	62	94.364	40	15.198	10.6	51	Chi, Meible (DUK)		
Alt.			Gonzalez	410824		UGA	Marta Gonzalez	11	1	78	93.766	52	11.706	10.61	54	Gonzalez, Marta (UGA)		
Alt.			Sun	562075		TEX	Lulu Sun	18	2	31	95.947	62	9.341	11.4	23	Sun, Lulu (TEX)		
Alt.			Guzman	564055		OKLA	Dana Guzman	18	2	50	94.904	63	9.211	10.85	46	Guzman, Dana (OKLA)		
Alt.			Corley	521320		OKLA	Carmen Corley	17	14	73	93.916	64	9.203	10.4	95	Corley, Carmen (OKLA)		
Alt.			Cayetano	509808		USC	Eryn Cayetano	10	5	42	95.392	88	5.848	10.91	40	Cayetano, Eryn (USC)		
Alt.			Blake	512400		STAN	Angelica Blake	7	2	52	94.846	97	5.371	10.79	39	Blake, Angelica (STA)		
