seed	team	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	ustaRnk	usta	coachRnk
 1	FLA  	22	 2	  1	98.261	 3	 99.249	 2	 99.829	 1	9.433	 1	80.72	 2	81.085	 2	302	 2
 2	BAY  	31	 4	  3	96.674	 6	 98.830	 5	 99.189	 5	8.857	10	79.71	 1	83.326	 3	292	 1
 3	TENN 	26	 3	  4	96.496	 5	 98.844	 4	 99.210	 2	9.167	 3	80.12	 3	74.511	 6	290	 3
 4	TEX  	22	 5	  6	92.875	 7	 97.914	 8	 97.827	10	8.588	13	79.04	 4	74.244	 8	263	 4
 5	UVA  	23	 2	  2	97.741	 1	100.000	 1	100.000	 3	9.025	 4	80.09	 5	74.106	 1	320	 5
 6	UNC  	21	 3	  5	95.113	 2	 99.364	 3	 99.317	 4	8.882	11	79.59	 6	72.279	 7	282	 6
 7	TCU  	18	 7	  7	91.865	 9	 96.922	 9	 97.802	 6	8.801	 9	79.72	 7	69.220	11	217	 7
 8	A&M  	18	 8	 10	90.334	10	 95.989	10	 97.007	11	8.561	 7	79.73	 8	63.687	16	156	 8
 9	UCF  	22	 4	 13	88.283	13	 94.906	15	 95.988	12	8.491	12	79.07	10	54.953	12	199	 9
10	WAKE 	29	 7	 12	89.521	11	 95.520	11	 96.717	13	8.317	 7	79.73	 9	57.043	14	196	10
11	UGA  	16	 6	 14	85.291	15	 94.865	16	 95.980	15	8.261	19	78.43	11	54.914	18	131	11
12	USC  	22	 6	  9	90.795	12	 95.144	12	 96.699	 9	8.632	 2	80.28	12	52.235	15	169	12
13	SCAR 	17	 9	 15	84.977	16	 94.519	13	 96.166	17	8.198	17	78.69	13	51.062	17	133	13
14	UK   	19	 8	 16	82.945	19	 93.553	17	 95.470	19	8.037	16	78.87	15	44.806	19	111	15
15	MISS 	13	10	 20	80.933	18	 93.622	19	 95.139	20	7.954	26	77.73	14	44.944	23	 73	16
16	ILL  	23	 2	  8	90.815	 4	 98.957	 6	 99.040	 8	8.636	13	79.04	17	40.136	10	231	13
R2	OSU  	22	 3	 11	89.931	 8	 97.396	 7	 98.388	 7	8.722	 5	80.04	35	25.053	 9	239	17
R2	STAN 	11	 6	 17	82.829	21	 93.153	21	 94.435	18	8.041	 6	80.02	21	34.549	22	 85	20
R2	ARIZ 	21	 7	 18	82.112	17	 93.903	18	 95.197	14	8.262	20	78.41	18	38.972	20	 90	19
R2	MSST 	18	 9	 21	79.382	20	 93.500	20	 94.790	22	7.811	25	77.87	16	41.294	25	 44	18
R2	AZST 	17	 9	 22	77.628	22	 92.503	25	 93.785	24	7.733	23	78.06	20	34.844	21	 88	22
R2	UCLA 	13	 7	 23	77.516	24	 92.224	24	 93.818	21	7.954	15	78.98	23	32.534	24	 52	29
R2	OKST 	10	12	 24	76.817	23	 92.261	23	 93.822	29	7.558	21	78.40	19	35.308	RV	  2	21
R2	NCST 	11	 9	 25	74.651	26	 91.721	22	 93.858	27	7.572	24	77.95	24	32.380	27	 14	28
R2	TULN 	15	 8	 26	73.337	28	 91.484	27	 93.454	25	7.650	30	77.00	22	33.073	  	   	24
R2	PEPP 	16	 7	 27	73.198	29	 91.460	31	 92.820	23	7.797	22	78.07	28	28.905	26	 27	30
R2	OKLA 	11	15	 28	71.389	27	 91.718	28	 93.275	33	7.398	28	77.33	27	29.420	  	   	26
R2	TTU  	13	 8	 29	71.261	30	 91.417	30	 92.876	28	7.569	34	76.79	25	31.236	RV	  2	27
R2	BAMA 	14	12	 30	69.660	31	 90.954	32	 92.771	37	7.308	31	76.97	26	30.960	  	   	25
R2	USF  	17	10	 32	67.916	32	 90.880	29	 93.042	32	7.511	36	76.53	31	26.037	  	   	33
R2	GT   	13	10	 33	67.483	39	 90.074	33	 92.514	31	7.525	37	76.52	30	27.754	RV	  3	31
R2	ND   	15	11	 39	62.753	43	 89.163	42	 91.530	36	7.317	38	76.36	34	25.295	  	   	37
R3	MICH 	15	 5	 19	81.648	14	 94.878	14	 96.158	16	8.211	18	78.53	45	14.687	12	199	23
R3	NW   	14	 8	 31	68.104	25	 92.008	26	 93.721	26	7.577	27	77.53	50	 7.820	  	   	46
R3	VT   	12	10	 34	66.639	34	 90.396	35	 92.285	35	7.353	35	76.66	29	28.222	  	   	34
R3	VCU  	17	 5	 35	65.693	36	 90.299	36	 92.261	34	7.368	29	77.08	36	24.271	  	   	38
R3	ORE  	17	 7	 36	65.478	33	 90.873	38	 92.055	30	7.545	32	76.85	37	23.364	  	   	41
R3	DUKE 	12	11	 37	64.992	41	 89.962	34	 92.367	38	7.282	33	76.83	32	25.716	  	   	36
R3	WICH 	15	 9	 38	64.564	35	 90.308	39	 92.020	39	7.270	39	75.89	33	25.336	  	   	32
R3	MEM  	10	 9	 40	62.578	37	 90.210	37	 92.175	42	7.155	42	75.37	38	22.098	  	   	35
R3	LSU  	12	13	 41	60.376	38	 90.098	40	 92.011	47	6.766	43	75.36	40	19.168	  	   	39
R3	MIA  	 8	11	 42	60.179	44	 89.015	41	 91.634	41	7.190	40	75.62	39	19.492	  	   	43
R3	DEN  	16	 4	 43	58.955	40	 90.006	44	 91.213	40	7.225	45	74.40	44	17.044	  	   	44
R3	MTSU 	17	 8	 44	58.799	45	 88.716	45	 90.919	43	7.155	41	75.49	42	18.524	  	   	42
R3	WMU  	22	 2	 46	57.246	47	 87.386	47	 88.927	44	6.930	52	72.83	41	18.644	RV	  1	45
R3	UCSB 	10	 6	 48	53.924	50	 84.533	49	 87.558	51	6.495	46	74.14	51	 7.765	  	   	  
R3	FGCU 	 9	 6	 50	53.523	49	 84.854	51	 87.344	52	6.419	51	73.59	47	 8.375	  	   	  
R3	NAVY 	 9	 1	 53	52.906	46	 87.967	46	 89.002	57	5.706	59	70.67	48	 8.275	  	   	  
R4	ARK  	10	15	 45	58.436	42	 89.509	43	 91.512	49	6.661	44	75.30	43	18.298	  	   	40
R4	UNCW 	15	 6	 47	55.246	48	 85.944	48	 88.561	48	6.666	47	73.94	46	 9.796	  	   	  
R4	SALA 	12	 8	 49	53.816	51	 84.064	50	 87.410	45	6.820	49	73.81	53	 6.682	  	   	  
R4	UNM  	 8	10	 51	53.418	53	 83.680	52	 87.241	46	6.774	48	73.85	52	 7.373	  	   	  
R4	ETSU 	13	 8	 52	52.985	52	 83.826	53	 87.033	50	6.529	50	73.79	49	 7.902	  	   	  
R4	CLEV 	18	 5	 54	50.618	55	 80.506	55	 83.781	54	5.897	53	71.58	55	 4.929	  	   	  
R4	DEP  	15	 6	 55	50.502	54	 81.881	54	 85.232	53	6.015	58	70.70	54	 5.565	  	   	  
R4	BEL  	 9	 5	 56	49.583	57	 78.995	56	 82.874	55	5.799	56	71.02	56	 4.476	  	   	  
R4	TAMCC	19	 5	 57	48.709	60	 77.264	58	 82.250	56	5.757	54	71.50	59	 2.974	  	   	  
R4	NAU  	 8	 9	 58	48.307	58	 77.838	57	 82.263	58	5.618	57	70.99	60	 2.430	  	   	  
R4	MONM 	14	 3	 59	47.815	56	 79.101	61	 81.741	59	5.410	61	69.51	57	 4.412	  	   	  
R4	PRES 	11	 7	 60	47.418	59	 77.761	59	 82.035	61	5.310	60	70.28	58	 3.972	  	   	  
R4	GCU  	 8	13	 61	47.318	61	 76.986	60	 81.763	60	5.328	55	71.42	62	 1.717	  	   	  
R4	SCST 	 2	 5	 62	45.532	62	 76.410	62	 80.971	62	5.017	62	67.03	64	 0.724	  	   	  
R4	FDU  	 6	 5	 63	45.161	64	 64.987	64	 71.891	63	4.232	63	65.63	61	 1.953	  	   	  
R4	AAMU 	 6	 7	 64	44.908	63	 72.460	63	 75.946	64	3.908	64	63.21	63	 1.605	  	   	  
