seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
 1	FLA  	Duarte Vale                         	24	 6	 11	98.871	 13	 97.985	 12	 98.125	 14	8.621	 21	13.60	  4	54.011	459591	331243	 159642
 1	FLA  	Sam Riffice                         	24	 7	 17	98.332	 26	 97.013	 23	 97.072	 20	8.519	 18	13.62	  6	49.677	488586	331244	2391589
 1	FLA  	Blaise Bicknell                     	28	 0	 22	97.798	 17	 97.436	 54	 95.671	  5	8.891	 23	13.49	 49	15.886	509770	331249	2585475
 1	FLA  	Andy Andrade                        	24	 7	 27	96.749	 35	 96.273	 48	 95.974	 30	8.413	 40	13.39	 18	32.709	385909	331242	1880803
 1	FLA  	Joshua Goodger                      	20	 0	 51	94.679	 57	 95.433	 89	 94.552	 16	8.585	 73	13.23	 72	 8.314	511775	331250	 219037
 1	FLA  	Ben Shelton                         	25	 5	 79	91.898	 78	 94.499	104	 94.200	 66	7.972	 40	13.39	163	 3.200	561860	331252	 405468
 1	FLA  	Lukas Greif                         	12	 2	141	85.648	159	 92.479	186	 92.362	 91	7.804	181	12.86	125	 4.062	488587	331223	  77003
 1	FLA  	Johannes Ingildsen                  	 4	 3	224	77.181	196	 91.689	179	 92.522	199	7.213	212	12.75	418	 1.488	417806	331713	  56678
 1	FLA  	Will Grant                          	 5	 2	289	70.979	280	 89.963	277	 90.695	301	6.717	291	12.53	303	 2.062	509771	331238	  85355
 1	FLA  	Brian Berdusco                      	 4	 3	365	64.526	323	 89.188	321	 89.993	396	6.310	325	12.42	421	 1.448	488592	331220	  87428
 2	BAY  	Matias Soto                         	18	 4	 12	98.820	 15	 97.776	 18	 97.441	 11	8.719	  7	13.75	 11	41.695	453651	331415	2497812
 2	BAY  	Adrian Boitan                       	17	 5	 20	97.957	 14	 97.939	 14	 97.778	 32	8.400	 27	13.47	 21	31.042	497587	331562	2630972
 2	BAY  	Charlie Broom                       	25	 6	 82	91.578	 79	 94.467	109	 94.099	 59	7.998	 60	13.27	139	 3.723	527260	331386	2610373
 2	BAY  	Spencer Furman                      	23	 3	 85	91.319	 94	 94.053	139	 93.362	 53	8.044	 63	13.26	113	 4.242	562413	331414	  40545
 2	BAY  	Nick Stachowiak                     	19	 7	111	88.807	102	 93.799	122	 93.792	 83	7.849	107	13.10	159	 3.376	562412	331387	1493215
 2	BAY  	Sven Lah                            	12	13	143	85.506	142	 92.938	132	 93.573	168	7.299	183	12.85	111	 4.251	424430	331420	2595796
 2	BAY  	Finn Bass                           	15	 3	162	83.112	164	 92.397	183	 92.427	180	7.271	187	12.84	136	 3.788	497586	331383	  93368
 2	BAY  	Ryan Dickerson                      	12	 0	185	80.942	178	 92.068	203	 92.077	192	7.239	297	12.52	122	 4.114	512869	331565	  57061
 2	BAY  	Constantin Frantzen                 	 9	 0	252	74.896	218	 91.275	268	 90.884	271	6.868	346	12.35	182	 2.914	407836	331569	  90471
 2	BAY  	Alex Garcia                         	 7	 0	315	68.725	371	 88.057	379	 88.813	335	6.598	349	12.34	182	 2.914	521236	331566	1907335
 2	BAY  	Sebastian Nothhaft                  	13	 5	325	68.190	334	 88.927	334	 89.751	411	6.201	236	12.70	301	 2.066	521234	331385	 217711
 2	BAY  	Christopher Frantzen                	 7	 0	459	56.881	430	 86.555	420	 87.883	436	6.062	513	11.60	369	 1.714	509799	331572	 270027
 2	BAY  	Rahul Dhokia                        	 3	 2	512	51.377	481	 85.149	490	 85.861	522	5.457	492	11.73	   	      	512870	331416	2751002
 2	BAY  	Joseph Chen                         	 3	 0	543	48.739	526	 83.514	505	 85.138	   	     	503	11.66	   	      	521235	      	1971271
 3	TENN 	Johannus Monday                     	31	 6	 16	98.352	 25	 97.098	 27	 96.981	 15	8.593	 15	13.64	  8	43.714	527971	331264	 246734
 3	TENN 	Adam Walton                         	18	10	 24	97.658	 31	 96.588	 19	 97.214	 46	8.156	 26	13.48	 10	42.596	461891	331281	1607999
 3	TENN 	Giles Hussey                        	29	 4	 48	95.078	 42	 96.038	 66	 95.252	 31	8.402	 40	13.39	 84	 7.542	513101	331287	2587952
 3	TENN 	Luca Wiedenmann                     	32	 4	 55	94.243	 52	 95.616	 72	 95.041	 35	8.347	 38	13.40	127	 4.018	463457	331284	1523057
 3	TENN 	Martim Prata                        	23	12	 71	92.576	 91	 94.104	 80	 94.837	 88	7.828	 88	13.17	 40	18.765	497830	331261	1962718
 3	TENN 	Pat Harper                          	12	 5	125	87.365	131	 93.160	160	 93.008	130	7.517	117	13.05	101	 5.433	488721	331286	1029709
 3	TENN 	Mark Wallner                        	12	 2	179	81.637	181	 92.013	201	 92.118	162	7.341	199	12.79	178	 2.928	513103	331441	1695552
 3	TENN 	Andrew Rogers                       	12	 3	222	77.359	241	 90.786	245	 91.418	248	6.977	183	12.85	222	 2.534	446520	331442	  77574
 3	TENN 	Joel Gamerov                        	 6	 5	309	69.116	352	 88.509	350	 89.433	344	6.554	325	12.42	204	 2.662	527970	331283	1194434
 3	TENN 	Josh Raab                           	 6	 3	385	63.010	422	 86.767	393	 88.455	377	6.384	397	12.20	279	 2.172	527972	331288	  85708
 4	TEX  	Eliot Spizzirri                     	24	 9	 29	96.596	 29	 96.711	 31	 96.630	 47	8.150	 47	13.34	 23	28.171	520306	330873	  85804
 4	TEX  	Micah Braswell                      	34	 6	 32	96.405	 32	 96.582	 46	 96.045	 29	8.426	 38	13.40	 37	20.879	528270	330883	1079166
 4	TEX  	Siem Woldeab                        	15	12	 78	92.020	 86	 94.273	 68	 95.164	 99	7.710	 81	13.20	 69	 9.315	513841	331392	2511578
 4	TEX  	Cleeve Harper                       	23	10	 88	91.082	 88	 94.230	112	 94.069	 80	7.884	 73	13.23	 98	 5.825	513840	330882	 298702
 4	TEX  	Jacob Bullard                       	 8	 8	225	77.103	258	 90.415	252	 91.225	276	6.842	115	13.06	305	 2.042	513842	330889	  85457
 4	TEX  	Chih Chi Huang                      	16	17	254	74.874	223	 91.185	233	 91.611	219	7.126	196	12.81	   	      	486712	330872	2632113
 4	TEX  	Evin McDonald                       	16	16	304	69.851	257	 90.440	286	 90.484	287	6.800	263	12.64	   	      	513843	330888	  73736
 4	TEX  	Payton Holden                       	 6	 3	313	68.799	295	 89.701	326	 89.864	359	6.506	307	12.48	279	 2.172	528271	330884	1260444
 4	TEX  	Nevin Arimilli                      	 9	 9	344	66.412	328	 88.973	317	 90.042	324	6.640	311	12.47	408	 1.541	486710	331389	2103432
 4	TEX  	Leighton Allen                      	 5	11	410	61.001	376	 88.003	347	 89.507	385	6.363	400	12.19	   	      	528269	330886	 319318
 4	TEX  	Eshan Talluri                       	 4	 7	470	55.609	443	 86.345	403	 88.246	480	5.790	448	11.97	   	      	513844	330891	 102846
 5	UVA  	Carl Söderlund                      	12	 2	  3	99.637	  3	 99.570	  2	 99.908	  3	8.995	  5	13.92	  7	48.375	453365	331762	1880754
 5	UVA  	Inaki Montes De La Torre            	17	 4	 35	96.185	 38	 96.157	 47	 96.002	 26	8.464	 30	13.46	 58	12.337	564150	331768	2660017
 5	UVA  	Jeffrey Von Der Schulenburg         	16	 5	 36	96.162	 30	 96.695	 36	 96.380	 39	8.308	 46	13.35	 43	18.393	564166	331764	 274837
 5	UVA  	Ryan Goetz                          	17	 5	 73	92.523	 82	 94.369	 86	 94.702	 51	8.076	 67	13.25	 97	 6.093	486444	331766	  77489
 5	UVA  	Chris Rodesch                       	15	 6	116	88.100	115	 93.490	107	 94.122	114	7.579	126	13.01	135	 3.818	564151	331770	 271417
 5	UVA  	Gianni Ross                         	13	 3	158	84.022	155	 92.625	198	 92.245	107	7.646	157	12.91	202	 2.667	447059	331772	2527367
 5	UVA  	William Woodall                     	 4	 2	257	74.219	283	 89.908	267	 90.955	262	6.924	129	13.00	446	 1.278	486442	335729	  85429
 5	UVA  	Alexander Kiefer                    	 4	 4	266	73.258	324	 89.175	315	 90.053	284	6.814	107	13.10	441	 1.333	564149	332366	 288429
 6	UNC  	William Blumberg                    	10	 3	 15	98.576	 10	 98.458	  5	 98.858	 23	8.474	 15	13.64	 34	21.868	390976	331520	1712358
