seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
 4	TEX  	Payton Holden                       	 6	 3	316	68.628	293	 89.853	326	 90.080	365	6.525	308	12.48	283	 2.172	528271	330884	1260444
 4	TEX  	Nevin Arimilli                      	 9	 9	347	66.310	333	 89.108	315	 90.246	325	6.682	309	12.47	412	 1.541	486710	331389	2103432
 4	TEX  	Leighton Allen                      	 5	11	410	60.808	375	 88.139	349	 89.702	388	6.394	402	12.19	   	      	528269	330886	 319318
 4	TEX  	Eshan Talluri                       	 4	 7	471	55.330	445	 86.463	405	 88.443	482	5.822	452	11.97	   	      	513844	330891	 102846
 5	UVA  	Carl Söderlund                      	12	 2	  1	99.709	  3	 99.620	  1	100.000	  2	9.001	  5	13.92	  7	48.375	453365	331762	1880754
 5	UVA  	Inaki Montes De La Torre            	18	 4	 35	96.205	 41	 96.293	 51	 96.094	 19	8.555	 33	13.46	 60	12.337	564150	331768	2660017
 5	UVA  	Jeffrey Von Der Schulenburg         	16	 6	 42	95.745	 35	 96.455	 41	 96.311	 46	8.217	 48	13.35	 44	18.393	564166	331764	 274837
 5	UVA  	Ryan Goetz                          	17	 6	 83	91.654	101	 94.114	 95	 94.582	 63	7.999	 67	13.27	100	 6.093	486444	331766	  77489
 5	UVA  	Chris Rodesch                       	15	 7	120	87.610	114	 93.709	117	 94.140	126	7.550	125	13.03	139	 3.818	564151	331770	 271417
 5	UVA  	Gianni Ross                         	14	 3	158	84.115	157	 92.840	197	 92.444	 98	7.783	162	12.91	206	 2.667	447059	331772	2527367
 5	UVA  	William Woodall                     	 4	 2	258	74.065	288	 89.982	268	 91.083	266	6.946	127	13.02	450	 1.278	486442	335729	  85429
 5	UVA  	Alexander Kiefer                    	 4	 4	273	72.615	329	 89.228	321	 90.182	290	6.836	113	13.09	445	 1.333	564149	332366	 288429
 6	UNC  	William Blumberg                    	11	 3	 12	98.662	  8	 98.665	  5	 99.016	 17	8.588	 18	13.63	 35	21.868	390976	331520	1712358
 6	UNC  	Rinky Hijikata                      	13	 2	 15	98.513	 19	 97.468	 21	 97.287	  4	8.944	 19	13.62	 24	27.962	514358	331646	1609719
 6	UNC  	Brian Cernoch                       	20	 5	 48	94.899	 57	 95.558	 62	 95.590	 36	8.362	 46	13.37	 59	12.667	491254	332053	  72898
 6	UNC  	Benjamin Sigouin                    	10	10	 96	90.428	 92	 94.286	 85	 95.008	133	7.514	138	12.97	 56	13.847	451826	332063	 830070
 6	UNC  	Joshua Peck                         	 8	 4	113	88.676	131	 93.294	141	 93.567	100	7.779	 90	13.18	112	 4.290	440447	332054	1880727
 6	UNC  	Simon Soendergaard                  	12	 7	162	83.429	172	 92.423	181	 92.668	156	7.406	175	12.88	147	 3.622	453379	331648	1971103
 6	UNC  	Peter Murphy                        	 1	 1	241	75.539	191	 91.882	149	 93.356	   	     	148	12.94	350	 1.852	564157	      	2087030
 6	UNC  	Anuj Watane                         	 3	 2	242	75.356	208	 91.581	230	 91.907	252	7.007	309	12.47	244	 2.434	514359	331503	1884433
 6	UNC  	Logan Zapp                          	 8	 4	243	75.315	232	 91.248	271	 91.064	203	7.231	303	12.50	237	 2.472	564155	331515	  99352
 6	UNC  	Mac Kiger                           	 8	 6	293	70.592	274	 90.265	304	 90.444	269	6.923	303	12.50	324	 1.960	421782	332064	2684756
 6	UNC  	Adam Neff                           	 1	 3	330	67.622	298	 89.777	305	 90.435	335	6.626	258	12.64	   	      	564156	331517	1970448
 6	UNC  	Mark Dillon                         	 2	 2	451	57.177	441	 86.487	445	 87.740	369	6.510	439	12.05	   	      	517797	331514	 133397
 7	TCU  	Alastair Gray                       	15	 8	 21	97.982	 24	 97.142	 25	 97.233	 31	8.386	 15	13.64	 12	40.150	411457	331793	 169607
 7	TCU  	Luc Fomba                           	22	 8	 22	97.943	 17	 97.579	 26	 97.226	 14	8.658	 35	13.43	 17	35.121	489297	331394	1310048
