seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
 1	UNC  	Sara Daavettila              	16	 1	  2	99.711	  2	 99.891	  5	 99.172	  1	9.137	 10	10.97	  2	64.167	400079	337265	  46642
 1	UNC  	Alexa Graham                 	12	 2	  8	98.855	 12	 96.287	  8	 97.914	  9	8.458	  6	11.09	 38	15.028	411298	337263	  39501
 1	UNC  	Fiona Crawley                	27	 0	 15	98.068	 17	 95.518	 32	 95.780	  6	8.665	 25	10.79	 33	16.886	564453	337044	1609669
 1	UNC  	Makenna Jones                	15	 2	 27	97.122	 24	 95.049	 45	 94.972	 14	8.348	 45	10.66	 29	18.391	419691	337045	1500488
 1	UNC  	Cameron Morra                	15	 6	 33	96.739	 45	 93.924	 25	 96.086	 39	8.005	 35	10.75	 24	20.000	488643	337267	  94694
 1	UNC  	Elizabeth Scotty             	13	 3	 44	95.893	 43	 94.051	 40	 95.273	 36	8.041	 23	10.80	 82	 5.927	520732	337039	  70039
 1	UNC  	Reilly Tran                  	17	 0	 73	92.086	 81	 92.417	 95	 93.193	 22	8.240	191	10.11	 96	 4.914	564465	337046	2588539
 1	UNC  	Anika Yarlagadda             	13	 1	 86	90.960	 80	 92.437	104	 93.036	 55	7.822	145	10.26	 91	 5.389	510762	337043	  95680
 1	UNC  	Alle Sanford                 	 5	 2	254	74.269	285	 87.204	285	 88.762	232	6.722	225	 9.99	266	 2.103	448680	337041	1872200
 1	UNC  	Kacie Harvey                 	 3	 1	353	65.485	382	 84.498	363	 87.087	332	6.085	268	 9.78	397	 1.485	510761	337038	 223145
 1	UNC  	Sara McClure                 	 0	 1	480	55.000	539	 63.743	412	 85.158	   	     	390	 9.14	   	      	564464	      	  96425
 1	UNC  	Sophia Patel                 	 0	 2	496	53.561	539	 63.743	548	 66.213	429	5.450	424	 8.91	   	      	486925	337040	1620214
 2	TEX  	Lulu Sun                     	19	 2	 12	98.621	 18	 95.334	 27	 95.979	 18	8.307	  1	11.44	 57	 9.341	562075	337206	2031220
 2	TEX  	Charlotte Chavatipon         	25	 1	 14	98.093	 15	 96.023	 26	 96.042	  7	8.611	 14	10.90	 66	 7.865	562071	336664	  96391
 2	TEX  	Peyton Stearns               	14	 6	 16	97.995	 28	 94.957	 17	 96.778	 25	8.223	  8	11.00	 34	16.379	562074	336655	2588012
 2	TEX  	Anna Turati                  	17	 3	 23	97.651	 29	 94.918	 19	 96.659	 29	8.172	 14	10.90	 32	17.309	459000	337207	  64382
 2	TEX  	Kylie Collins                	17	 2	 42	95.985	 49	 93.777	 63	 94.262	 24	8.233	 22	10.83	 64	 8.042	564774	337208	2154945
 2	TEX  	Malaika Rapolu               	25	 2	 77	91.953	 67	 92.857	 99	 93.128	 55	7.822	 74	10.47	125	 3.640	562073	336666	 129177
 2	TEX  	Fernanda Labraña             	22	 2	 82	91.656	 55	 93.431	101	 93.111	 63	7.727	107	10.37	108	 4.276	424273	336661	1742438
 2	TEX  	Marta Perez-Mur              	 9	 2	192	80.643	191	 89.581	194	 91.042	208	6.860	215	10.01	164	 2.887	440885	336662	2587908
 2	TEX  	Tijana Spasojevic            	 1	 0	451	58.168	456	 80.856	508	 79.547	380	5.784	362	 9.34	   	      	486164	341739	 154107
 2	TEX  	Gabby Cusano                 	 1	 7	499	53.430	502	 77.476	492	 80.670	443	5.325	498	 8.14	   	      	513072	336659	1970164
 2	TEX  	Simran Kortikere             	 0	 8	548	49.313	554	 63.461	538	 75.483	519	3.972	538	 7.27	   	      	562072	336668	 104782
 3	UGA  	Katarina Jokic               	25	 1	  4	99.675	  3	 99.585	  2	 99.861	  5	8.914	  3	11.29	  4	60.556	419539	336778	2583619
