seed	team	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	ustaRnk	usta	coachRnk
 1	UNC  	28	 0	  1	98.781	 1	100.000	 1	100.000	 1	9.779	 2	65.05	 1	87.725	 2	325	 1
 2	TEX  	27	 1	  2	98.081	 2	 97.567	 2	 98.394	 2	9.421	 1	65.53	 2	79.309	 3	312	 2
 3	UGA  	22	 1	  3	96.743	 3	 96.363	 3	 97.713	 3	9.178	 4	64.73	 3	73.765	 4	299	 3
 4	UCLA 	21	 4	  5	95.456	 5	 89.323	 4	 93.746	 4	8.902	 5	64.41	 4	61.622	 5	280	 5
 5	PEPP 	22	 3	  4	95.524	 4	 89.838	 5	 93.533	 5	8.762	 3	64.87	 5	60.458	 6	276	 4
 6	NCST 	18	 5	  6	91.766	10	 87.375	11	 91.783	 6	8.353	 9	62.90	 6	56.151	12	197	 6
 7	FSU  	18	 5	  8	90.931	 9	 87.722	 8	 92.070	10	8.152	11	62.64	 7	55.387	13	181	 7
 8	BAY  	24	 5	  7	91.074	 8	 88.219	10	 91.958	14	8.060	 7	63.18	 8	52.726	 9	204	 8
 9	UCF  	20	 4	 11	89.127	14	 86.944	12	 91.591	11	8.134	12	62.63	 9	52.032	10	203	 9
10	A&M  	21	 7	 15	84.851	17	 86.093	15	 90.742	19	7.791	21	61.68	10	50.255	18	129	10
11	FLA  	13	 8	 18	82.509	22	 84.790	23	 89.831	25	7.592	10	62.67	12	48.690	22	 86	15
12	LSU  	15	 6	 21	79.857	20	 85.216	22	 89.883	24	7.663	26	61.45	14	48.116	25	 55	14
13	GT   	20	10	 16	84.517	15	 86.475	18	 90.483	17	7.846	24	61.57	11	48.832	16	148	11
14	UVA  	16	 6	 10	89.860	11	 87.365	 7	 92.164	 7	8.279	13	62.35	13	48.309	11	202	11
15	OSU  	23	 3	  9	90.248	 6	 89.090	 6	 92.853	 8	8.229	20	61.69	16	46.778	 7	249	13
16	CAL  	19	 6	 14	85.400	13	 87.021	14	 91.309	12	8.075	16	62.17	17	45.980	14	170	17
R2	MICH 	19	 3	 12	87.706	 7	 88.379	 9	 91.975	13	8.069	18	61.92	20	39.900	 8	239	18
R2	DUKE 	17	 6	 13	85.986	12	 87.052	13	 91.363	 9	8.195	14	62.33	18	43.053	15	162	20
R2	STAN 	15	 5	 17	82.588	18	 85.630	16	 90.713	15	8.039	 8	63.05	27	35.117	20	100	26
R2	TENN 	17	 9	 19	80.514	21	 85.122	21	 90.038	20	7.739	24	61.57	15	46.876	21	 96	16
R2	OKLA 	15	 7	 20	80.209	23	 84.643	17	 90.651	16	8.022	15	62.32	22	38.939	24	 58	24
R2	MIA  	15	 9	 22	79.802	19	 85.388	19	 90.280	18	7.842	19	61.85	23	38.932	23	 73	21
R2	NW   	19	 6	 23	79.397	16	 86.424	20	 90.162	22	7.728	33	60.35	21	38.971	17	133	19
R2	AUB  	14	 9	 25	75.235	25	 84.228	25	 89.164	27	7.444	30	60.97	19	40.689	27	 14	22
R2	AZST 	15	 9	 26	73.227	28	 83.589	28	 88.811	21	7.737	23	61.60	31	26.263	RV	  6	30
R2	SCAR 	12	12	 27	72.698	29	 83.583	29	 88.712	30	7.295	29	61.32	24	38.772	RV	 12	23
R2	MISS 	11	10	 28	71.625	32	 83.460	30	 88.642	34	7.223	22	61.67	25	38.316	  	   	25
R2	UK   	16	 9	 29	71.600	27	 83.839	27	 88.837	32	7.246	35	59.98	26	37.222	26	 16	27
R2	ODU  	13	 5	 30	71.438	24	 84.612	24	 89.455	28	7.384	37	59.86	29	28.000	RV	  3	32
R2	VANDY	14	10	 31	70.341	31	 83.522	31	 88.577	29	7.323	28	61.34	28	34.887	  	   	28
R2	TTU  	16	 9	 32	69.856	34	 83.067	33	 88.294	26	7.493	27	61.35	30	27.975	  	   	29
R2	WAKE 	12	13	 33	67.868	33	 83.435	32	 88.416	33	7.230	31	60.63	32	26.078	  	   	31
R3	USC  	13	10	 24	76.278	30	 83.524	26	 89.071	23	7.672	 6	64.31	35	23.252	  	   	34
R3	OKST 	11	12	 34	67.191	40	 82.088	37	 87.495	36	7.029	17	61.96	37	20.983	  	   	37
R3	FUR  	21	 7	 35	64.787	39	 82.177	36	 87.622	35	7.046	41	59.03	34	25.098	RV	  5	35
R3	USD  	15	 5	 36	64.481	38	 82.186	35	 87.654	31	7.247	32	60.50	39	19.226	  	   	42
R3	FIU  	12	 2	 37	64.353	26	 83.880	34	 88.154	39	6.868	42	58.92	41	18.116	RV	  1	44
R3	ISU  	14	 8	 38	63.480	36	 82.254	39	 87.366	37	6.944	39	59.11	36	22.522	  	   	36
R3	ARK  	11	11	 39	63.458	37	 82.205	41	 86.980	42	6.672	38	59.56	33	25.808	  	   	33
R3	RICE 	15	 7	 40	63.102	35	 82.391	40	 87.134	38	6.912	34	60.08	40	18.245	  	   	39
R3	MSST 	11	13	 41	60.536	43	 81.083	43	 86.107	47	6.391	36	59.95	38	19.452	  	   	38
R3	SYR  	 8	12	 42	59.432	42	 81.457	42	 86.680	41	6.706	44	58.27	42	17.740	  	   	41
R3	UCSB 	13	 4	 43	59.228	41	 82.018	38	 87.469	40	6.706	46	57.47	44	14.791	  	   	  
R3	BAMA 	12	13	 44	58.780	44	 80.697	44	 85.851	46	6.425	40	59.06	43	16.420	  	   	40
R3	UNF  	17	 8	 46	56.971	45	 80.205	45	 85.531	44	6.498	43	58.67	48	 8.000	  	   	  
R3	JMU  	14	 4	 47	56.003	47	 78.859	47	 84.406	45	6.447	47	56.87	46	 8.762	  	   	  
R3	BALL 	22	 4	 52	51.747	52	 73.791	52	 79.626	53	5.422	53	54.38	54	 3.743	  	   	  
R3	XAV  	17	 4	 54	51.276	50	 75.146	49	 80.915	50	5.642	64	33.27	56	 3.604	  	   	  
R4	DEN  	14	 4	 45	57.238	46	 79.442	46	 85.185	43	6.616	45	58.01	45	11.752	  	   	43
R4	VCU  	14	10	 48	54.786	48	 76.776	48	 82.373	48	6.054	48	55.89	49	 6.427	  	   	  
R4	SJSU 	15	 2	 49	54.259	49	 76.561	50	 80.389	49	5.905	50	55.36	47	 8.043	  	   	  
R4	BU   	 9	 2	 50	52.556	51	 74.584	54	 78.919	54	5.300	49	55.47	50	 6.133	  	   	  
R4	NAU  	14	 5	 51	52.014	53	 72.357	51	 79.971	51	5.614	54	53.31	53	 3.850	  	   	  
R4	GASO 	19	 9	 53	51.625	54	 72.107	53	 79.081	55	5.229	51	54.48	52	 4.077	  	   	  
R4	TAMCC	21	 5	 55	51.105	55	 70.953	55	 78.711	52	5.524	52	54.45	55	 3.613	  	   	  
R4	PEAY 	12	 4	 56	49.674	56	 70.724	56	 77.534	56	5.023	55	52.43	57	 3.322	  	   	  
