seed	team	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	ustaRnk	usta	coachRnk
 1	FLA  	20	 2	  1	98.261	 3	 99.101	 2	 99.767	 1	9.399	 1	80.76	 2	81.085	 2	302	 2
 2	BAY  	29	 4	  3	96.724	 6	 98.667	 5	 99.051	 5	8.817	 9	79.74	 1	83.326	 3	292	 1
 3	TENN 	24	 3	  4	96.349	 5	 98.718	 4	 99.183	 2	9.172	 4	80.17	 3	74.511	 6	290	 3
 4	TEX  	20	 5	  6	92.701	 7	 97.625	 8	 97.594	11	8.537	14	79.01	 4	74.244	 8	263	 4
 5	UVA  	21	 2	  2	97.607	 1	100.000	 1	100.000	 3	9.126	 6	80.03	 5	74.106	 1	320	 5
 6	UNC  	19	 3	  5	95.113	 2	 99.367	 3	 99.372	 4	8.939	11	79.64	 6	72.279	 7	282	 6
 7	TCU  	16	 7	  7	91.742	 9	 96.563	 9	 97.567	 6	8.759	10	79.71	 7	69.220	11	217	 7
 8	A&M  	16	 8	 12	89.749	11	 95.892	11	 96.972	12	8.527	 8	79.76	 8	63.687	16	156	 8
 9	UCF  	21	 3	 13	89.491	13	 95.633	12	 96.589	 7	8.634	12	79.08	10	54.953	12	199	 9
10	WAKE 	28	 6	 11	89.803	10	 95.993	10	 97.170	13	8.428	 7	79.79	 9	57.043	14	196	10
11	UGA  	14	 6	 14	85.435	14	 94.909	16	 96.078	15	8.183	19	78.43	11	54.914	18	131	11
12	USC  	20	 6	  9	90.359	16	 94.471	14	 96.380	 8	8.620	 2	80.29	12	52.235	15	169	12
13	SCAR 	15	 9	 15	84.938	15	 94.494	15	 96.202	16	8.130	17	78.69	13	51.062	17	133	13
14	UK   	18	 7	 16	83.478	17	 93.827	17	 95.866	17	8.116	16	78.88	15	44.806	19	111	15
15	MISS 	11	10	 19	81.054	18	 93.411	18	 95.003	21	7.845	25	77.70	14	44.944	23	 73	16
16	ILL  	21	 2	  8	90.466	 4	 98.959	 6	 98.810	 9	8.599	15	78.92	17	40.136	10	231	13
R2	OSU  	20	 3	 10	90.150	 8	 97.227	 7	 97.864	10	8.595	 3	80.28	35	25.053	 9	239	17
R2	STAN 	10	 5	 17	82.904	21	 92.301	22	 93.999	20	7.970	 5	80.08	21	34.549	22	 85	20
R2	ARIZ 	19	 7	 20	80.464	20	 92.428	21	 94.263	18	8.098	21	78.35	18	38.972	20	 90	19
R2	MSST 	16	 9	 21	79.047	19	 92.984	20	 94.391	27	7.626	24	77.84	16	41.294	25	 44	18
R2	UCLA 	13	 6	 22	78.416	24	 91.844	23	 93.839	19	8.032	13	79.06	23	32.534	24	 52	29
R2	AZST 	16	 8	 23	77.215	25	 91.786	25	 93.560	24	7.684	23	78.03	20	34.844	21	 88	22
R2	OKST 	 9	11	 24	77.007	23	 91.927	24	 93.677	29	7.543	19	78.43	19	35.308	RV	  2	21
R2	NCST 	11	 8	 25	76.603	22	 92.300	19	 94.442	23	7.701	22	78.11	24	32.380	27	 14	28
R2	TULN 	14	 7	 26	73.488	26	 91.450	26	 93.532	26	7.633	31	76.99	22	33.073	  	   	24
R2	PEPP 	15	 6	 27	72.228	30	 91.072	34	 92.694	22	7.730	26	77.59	28	28.905	26	 27	30
R2	BAMA 	14	11	 28	70.732	27	 91.267	28	 93.057	39	7.310	30	77.06	26	30.960	  	   	25
R2	OKLA 	10	14	 29	70.620	28	 91.228	29	 93.046	37	7.322	28	77.53	27	29.420	  	   	26
R2	TTU  	12	 7	 30	70.360	31	 90.979	35	 92.599	28	7.549	35	76.66	25	31.236	RV	  2	27
R2	GT   	13	 9	 31	70.198	33	 90.893	27	 93.356	25	7.675	36	76.54	30	27.754	RV	  3	31
