seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
 1	FLA  	Duarte Vale                         	23	 6	  9	98.905	 12	 98.000	 12	 98.184	 13	8.616	 21	13.60	  4	54.011	459591	331243	 159642
 1	FLA  	Sam Riffice                         	23	 7	 18	98.304	 26	 97.032	 23	 97.174	 23	8.507	 17	13.64	  6	49.677	488586	331244	2391589
 1	FLA  	Blaise Bicknell                     	28	 0	 25	97.604	 20	 97.356	 56	 95.813	  6	8.904	 24	13.49	 49	15.886	509770	331249	2585475
 1	FLA  	Andy Andrade                        	22	 7	 28	96.635	 37	 96.261	 45	 96.095	 36	8.380	 40	13.40	 18	32.709	385909	331242	1880803
 1	FLA  	Joshua Goodger                      	19	 0	 52	94.484	 61	 95.186	 91	 94.650	 18	8.538	 71	13.23	 72	 8.314	511775	331250	 219037
 1	FLA  	Ben Shelton                         	24	 5	 83	91.565	 79	 94.470	112	 94.238	 74	7.911	 40	13.40	163	 3.200	561860	331252	 405468
 1	FLA  	Lukas Greif                         	11	 2	149	85.106	163	 92.474	199	 92.419	101	7.704	179	12.86	125	 4.062	488587	331223	  77003
 1	FLA  	Johannes Ingildsen                  	 4	 3	222	77.125	195	 91.767	182	 92.682	203	7.237	208	12.76	418	 1.488	417806	331713	  56678
 1	FLA  	Will Grant                          	 5	 2	289	70.841	279	 90.002	280	 90.859	305	6.711	292	12.53	303	 2.062	509771	331238	  85355
 1	FLA  	Brian Berdusco                      	 4	 3	372	64.104	325	 89.133	333	 89.932	400	6.290	327	12.42	421	 1.448	488592	331220	  87428
 2	BAY  	Matias Soto                         	18	 4	 13	98.784	 16	 97.762	 18	 97.535	 12	8.709	  7	13.75	 11	41.695	453651	331415	2497812
 2	BAY  	Adrian Boitan                       	16	 5	 19	97.874	 14	 97.855	 14	 97.804	 32	8.404	 33	13.44	 21	31.042	497587	331562	2630972
 2	BAY  	Spencer Furman                      	22	 3	 84	91.469	 98	 94.073	140	 93.616	 53	8.071	 55	13.31	113	 4.242	562413	331414	  40545
 2	BAY  	Charlie Broom                       	25	 6	 85	91.349	 77	 94.490	109	 94.265	 67	7.966	 62	13.27	139	 3.723	527260	331386	2610373
 2	BAY  	Nick Stachowiak                     	19	 7	111	88.583	107	 93.858	126	 93.933	 87	7.815	104	13.11	159	 3.376	562412	331387	1493215
 2	BAY  	Sven Lah                            	11	13	156	84.526	154	 92.842	138	 93.632	199	7.245	189	12.83	111	 4.251	424430	331420	2595796
 2	BAY  	Finn Bass                           	15	 3	159	83.622	141	 93.104	176	 92.778	194	7.260	180	12.85	136	 3.788	497586	331383	  93368
 2	BAY  	Ryan Dickerson                      	12	 0	182	81.372	177	 92.202	205	 92.285	206	7.232	246	12.68	122	 4.114	512869	331565	  57061
 2	BAY  	Constantin Frantzen                 	 9	 0	242	75.489	219	 91.381	269	 91.096	276	6.852	299	12.51	182	 2.914	407836	331569	  90471
 2	BAY  	Alex Garcia                         	 7	 0	316	68.653	371	 88.140	380	 89.021	339	6.595	348	12.34	182	 2.914	521236	331566	1907335
 2	BAY  	Sebastian Nothhaft                  	13	 5	327	67.952	335	 88.986	332	 89.939	419	6.171	241	12.69	301	 2.066	521234	331385	 217711
 2	BAY  	Christopher Frantzen                	 7	 0	460	56.604	436	 86.615	422	 88.091	441	6.045	514	11.58	369	 1.714	509799	331572	 270027
 2	BAY  	Rahul Dhokia                        	 3	 2	513	51.200	480	 85.193	491	 86.054	522	5.431	501	11.66	   	      	512870	331416	2751002
 2	BAY  	Joseph Chen                         	 3	 0	538	48.966	526	 83.559	507	 85.343	   	     	490	11.73	   	      	521235	      	1971271
 3	TENN 	Johannus Monday                     	31	 6	 17	98.386	 24	 97.173	 24	 97.130	 14	8.613	 17	13.64	  8	43.714	527971	331264	 246734
 3	TENN 	Adam Walton                         	17	10	 23	97.696	 32	 96.546	 21	 97.256	 42	8.187	 23	13.50	 10	42.596	461891	331281	1607999
 3	TENN 	Giles Hussey                        	29	 4	 48	95.015	 41	 96.044	 63	 95.412	 33	8.399	 43	13.39	 84	 7.542	513101	331287	2587952
 3	TENN 	Luca Wiedenmann                     	31	 4	 54	94.257	 53	 95.583	 76	 95.132	 37	8.344	 33	13.44	127	 4.018	463457	331284	1523057
 3	TENN 	Martim Prata                        	23	12	 71	92.565	 94	 94.142	 83	 94.978	 80	7.858	 91	13.16	 40	18.765	497830	331261	1962718
 3	TENN 	Pat Harper                          	12	 5	133	86.902	140	 93.121	166	 93.150	138	7.483	119	13.05	101	 5.433	488721	331286	1029709
 3	TENN 	Mark Wallner                        	12	 2	186	80.905	188	 91.942	211	 92.233	178	7.309	202	12.79	178	 2.928	513103	331441	1695552
 3	TENN 	Andrew Rogers                       	11	 3	224	76.979	247	 90.685	251	 91.438	261	6.898	180	12.85	222	 2.534	446520	331442	  77574
 3	TENN 	Joel Gamerov                        	 6	 5	308	69.086	354	 88.577	352	 89.619	346	6.560	321	12.45	204	 2.662	527970	331283	1194434
 3	TENN 	Josh Raab                           	 6	 3	389	62.759	423	 86.847	394	 88.651	391	6.349	394	12.20	279	 2.172	527972	331288	  85708
 4	TEX  	Eliot Spizzirri                     	24	 9	 29	96.533	 30	 96.777	 33	 96.752	 44	8.171	 50	13.34	 23	28.171	520306	330873	  85804
 4	TEX  	Micah Braswell                      	34	 6	 34	96.412	 31	 96.648	 44	 96.189	 31	8.428	 38	13.41	 37	20.879	528270	330883	1079166
 4	TEX  	Siem Woldeab                        	14	12	 81	91.782	 86	 94.308	 69	 95.308	104	7.671	 88	13.17	 69	 9.315	513841	331392	2511578
 4	TEX  	Cleeve Harper                       	22	10	 91	90.844	 90	 94.226	119	 94.097	 84	7.834	 73	13.22	 98	 5.825	513840	330882	 298702
 4	TEX  	Jacob Bullard                       	 8	 8	225	76.820	258	 90.507	252	 91.422	286	6.817	118	13.06	305	 2.042	513842	330889	  85457
 4	TEX  	Chih Chi Huang                      	15	17	256	73.966	234	 91.065	238	 91.645	244	7.016	196	12.81	   	      	486712	330872	2632113
 4	TEX  	Evin McDonald                       	16	16	305	69.547	262	 90.420	291	 90.626	292	6.774	262	12.65	   	      	513843	330888	  73736
 4	TEX  	Payton Holden                       	 6	 3	317	68.528	297	 89.745	326	 90.058	364	6.467	314	12.47	279	 2.172	528271	330884	1260444
 4	TEX  	Nevin Arimilli                      	 9	 9	348	66.124	332	 89.040	315	 90.227	333	6.603	314	12.47	408	 1.541	486710	331389	2103432
 4	TEX  	Leighton Allen                      	 5	11	412	60.820	379	 88.053	346	 89.678	395	6.310	397	12.19	   	      	528269	330886	 319318
 4	TEX  	Eshan Talluri                       	 4	 7	471	55.471	442	 86.404	406	 88.432	485	5.747	448	11.97	   	      	513844	330891	 102846
 5	UVA  	Carl Söderlund                      	12	 2	  3	99.632	  4	 99.434	  2	 99.916	  4	8.977	  3	13.93	  7	48.375	453365	331762	1880754
 5	UVA  	Inaki Montes De La Torre            	15	 4	 30	96.519	 39	 96.187	 41	 96.233	 19	8.536	 29	13.46	 58	12.337	564150	331768	2660017
 5	UVA  	Jeffrey Von Der Schulenburg         	16	 4	 33	96.470	 25	 97.135	 34	 96.735	 30	8.456	 50	13.34	 43	18.393	564166	331764	 274837
 5	UVA  	Ryan Goetz                          	16	 5	 76	92.297	 85	 94.388	 86	 94.913	 51	8.095	 75	13.21	 97	 6.093	486444	331766	  77489
 5	UVA  	Chris Rodesch                       	14	 6	125	87.541	127	 93.369	108	 94.284	121	7.562	134	12.98	135	 3.818	564151	331770	 271417
 5	UVA  	Gianni Ross                         	11	 3	157	84.036	175	 92.228	193	 92.508	102	7.691	149	12.93	202	 2.667	447059	331772	2527367
 5	UVA  	William Woodall                     	 3	 2	258	73.931	282	 89.974	264	 91.258	237	7.046	153	12.92	446	 1.278	486442	335729	  85429
 5	UVA  	Alexander Kiefer                    	 4	 4	260	73.688	326	 89.105	317	 90.208	274	6.858	101	13.12	441	 1.333	564149	332366	 288429
 6	UNC  	Rinky Hijikata                      	11	 2	 15	98.698	 13	 97.964	 20	 97.288	  3	8.984	 20	13.62	 24	27.962	514358	331646	1609719
 6	UNC  	William Blumberg                    	 9	 3	 16	98.442	 10	 98.338	  8	 98.813	 26	8.485	 13	13.68	 34	21.868	390976	331520	1712358
 6	UNC  	Brian Cernoch                       	17	 5	 45	95.456	 52	 95.590	 55	 95.816	 27	8.479	 44	13.38	 57	12.667	491254	332053	  72898
 6	UNC  	Benjamin Sigouin                    	 9	 9	 87	91.002	 81	 94.431	 73	 95.152	124	7.536	149	12.93	 54	13.847	451826	332063	 830070
 6	UNC  	Joshua Peck                         	 8	 3	 97	90.305	111	 93.683	123	 93.976	 57	8.028	101	13.12	109	 4.290	440447	332054	1880727
 6	UNC  	Simon Soendergaard                  	11	 6	147	85.376	145	 93.003	170	 93.043	124	7.536	153	12.92	143	 3.622	453379	331648	1971103
 6	UNC  	Anuj Watane                         	 3	 2	232	76.109	203	 91.598	227	 91.982	241	7.036	292	12.53	240	 2.434	514359	331503	1884433
 6	UNC  	Logan Zapp                          	 8	 4	233	76.027	225	 91.287	266	 91.216	188	7.269	302	12.50	233	 2.472	564155	331515	  99352
 6	UNC  	Peter Murphy                        	 1	 1	237	75.651	189	 91.939	145	 93.466	   	     	153	12.92	346	 1.852	564157	      	2087030
 6	UNC  	Mac Kiger                           	 8	 6	282	71.842	264	 90.359	290	 90.628	250	6.953	289	12.54	320	 1.960	421782	332064	2684756
