seed	team	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	ustaRnk	usta	coachRnk
 1	UNC  	29	 0	  1	98.781	 1	100.000	 1	100.000	 1	9.786	 2	65.02	 1	87.725	 2	325	 1
 2	TEX  	28	 1	  2	98.081	 2	 97.584	 2	 98.398	 2	9.413	 1	65.46	 2	79.309	 3	312	 2
 3	UGA  	23	 1	  3	96.874	 3	 96.302	 3	 97.744	 3	9.194	 3	64.68	 3	73.765	 4	299	 3
 4	UCLA 	22	 4	  4	95.599	 5	 89.440	 4	 93.758	 4	8.914	 4	64.38	 4	61.622	 5	280	 5
 5	PEPP 	23	 3	  5	95.058	 4	 90.085	 5	 93.641	 5	8.783	 6	64.15	 5	60.458	 6	276	 4
 6	NCST 	19	 5	  6	92.013	10	 87.033	10	 91.602	 6	8.367	 8	62.72	 6	56.151	12	197	 6
 7	FSU  	19	 5	  7	91.235	 9	 87.520	 7	 91.996	 9	8.169	11	62.52	 7	55.387	13	181	 7
 8	BAY  	24	 5	  8	91.120	 7	 87.851	 9	 91.673	12	8.029	10	62.55	 8	52.726	 9	204	 8
 9	UCF  	20	 5	 11	89.333	14	 86.195	14	 91.108	11	8.041	 9	62.60	 9	52.032	10	203	 9
10	A&M  	21	 8	 16	84.375	17	 85.490	17	 90.261	19	7.711	23	61.60	10	50.255	18	129	10
11	FLA  	13	 8	 18	81.465	22	 84.294	23	 89.476	25	7.550	15	62.15	12	48.690	22	 86	15
12	LSU  	15	 6	 23	77.230	20	 84.727	22	 89.519	23	7.616	64	40.95	14	48.116	25	 55	14
13	GT   	20	11	 15	84.390	15	 86.071	18	 90.183	18	7.787	24	61.53	11	48.832	16	148	11
14	UVA  	16	 7	 10	89.665	11	 87.023	 8	 91.896	 7	8.215	13	62.34	13	48.309	11	202	11
15	OSU  	23	 4	  9	90.006	 6	 88.505	 6	 92.365	10	8.100	19	61.77	16	46.778	 7	249	13
16	CAL  	19	 7	 14	85.534	12	 86.974	13	 91.206	14	8.009	15	62.15	17	45.980	14	170	17
R2	MICH 	19	 4	 12	86.824	 8	 87.717	11	 91.407	16	7.897	17	61.89	20	39.900	 8	239	18
R2	DUKE 	18	 6	 13	86.220	13	 86.943	12	 91.260	 8	8.215	14	62.23	18	43.053	15	162	20
R2	STAN 	15	 5	 17	83.416	18	 85.459	15	 90.562	13	8.011	 7	63.01	27	35.117	20	100	26
R2	OKLA 	15	 7	 19	81.170	23	 84.192	16	 90.322	15	7.988	12	62.51	22	38.939	24	 58	24
R2	TENN 	17	 9	 20	80.263	21	 84.663	21	 89.708	21	7.700	25	61.48	15	46.876	21	 96	16
R2	MIA  	15	 9	 21	79.819	19	 84.967	19	 89.999	17	7.812	20	61.76	23	38.932	23	 73	21
R2	NW   	19	 6	 22	79.487	16	 85.871	20	 89.728	22	7.639	32	60.30	21	38.971	17	133	19
R2	AUB  	14	 9	 25	75.354	25	 83.756	25	 88.822	27	7.403	29	61.03	19	40.689	27	 14	22
R2	AZST 	15	 9	 26	73.892	28	 83.212	27	 88.527	20	7.708	21	61.68	31	26.263	RV	  6	30
R2	SCAR 	12	12	 27	72.844	30	 83.112	29	 88.370	30	7.255	27	61.25	24	38.772	RV	 12	23
R2	MISS 	11	10	 28	71.689	33	 82.988	30	 88.301	34	7.184	21	61.68	25	38.316	  	   	25
R2	ODU  	13	 5	 29	71.664	24	 84.158	24	 89.155	28	7.356	35	59.85	29	28.000	RV	  3	32
R2	UK   	16	 9	 30	71.570	27	 83.378	28	 88.503	32	7.205	34	59.92	26	37.222	26	 16	27
R2	VANDY	14	10	 31	70.653	31	 83.050	31	 88.233	29	7.280	26	61.29	28	34.887	  	   	28
R2	TTU  	16	 9	 32	69.699	34	 82.642	33	 87.986	26	7.464	28	61.22	30	27.975	  	   	29
R2	WAKE 	12	13	 33	68.009	32	 83.005	32	 88.119	33	7.201	31	60.42	32	26.078	  	   	31
R3	USC  	13	11	 24	76.859	29	 83.112	26	 88.730	24	7.609	 5	64.31	35	23.252	  	   	34
R3	OKST 	11	12	 34	66.679	41	 81.643	38	 87.168	36	6.993	18	61.82	37	20.983	  	   	37
R3	USD  	15	 5	 35	65.078	36	 81.830	35	 87.396	31	7.216	30	60.52	39	19.226	  	   	42
R3	FUR  	21	 7	 36	64.911	40	 81.727	36	 87.304	35	7.008	39	58.94	34	25.098	RV	  5	35
R3	FIU  	12	 2	 37	64.353	26	 83.440	34	 87.843	39	6.833	42	58.62	41	18.116	RV	  1	44
R3	ISU  	14	 8	 38	63.472	37	 81.821	39	 87.055	37	6.912	38	59.34	36	22.522	  	   	36
R3	ARK  	11	11	 39	63.322	39	 81.736	41	 86.641	42	6.636	37	59.43	33	25.808	  	   	33
R3	RICE 	15	 7	 40	63.259	35	 81.951	40	 86.808	38	6.874	33	60.14	40	18.245	  	   	39
R3	MSST 	11	13	 41	60.536	43	 80.620	43	 85.771	47	6.353	36	59.76	38	19.452	  	   	38
R3	UCSB 	13	 4	 42	59.806	38	 81.763	37	 87.273	41	6.675	45	57.65	44	14.791	  	   	  
R3	SYR  	 8	12	 43	59.707	42	 81.039	42	 86.391	40	6.676	43	58.22	42	17.740	  	   	41
