line	seed	team	kind	position	player	partner	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses
17	5	UVA  	S	11	Jefferson Dockter        	                         													0	0	0	0
17	5	UVA  	S	12	Spencer Bozsik           	                         													0	0	0	0
17	5	UVA  	S	13	Ethan Moszkowski         	                         													0	0	0	0
17	5	UVA  	S	14	Jerome Romualdez         	                         													0	0	0	0
17	5	UVA  	D	1	Carl Soderlund           	William Woodall          	9	8											9	8	9	8
17	5	UVA  	D	2	Ryan Goetz               	Chris Rodesch            			10	5									10	5	10	5
17	5	UVA  	D	3	Jeffrey von der Schulenburg	Inaki Montes de la Torre 	0	1	3	0	12	3							15	4	15	4
17	5	UVA  	D	4	Matthew Lord             	Gianni Ross              													0	0	0	0
48	6	UNC  	S	1	William Blumberg         	                         	8	3											8	3	9	3
48	6	UNC  	S	2	Rinky Hijikata           	                         	3	0	4	2	2	0							9	2	11	2
48	6	UNC  	S	3	Benjamin Sigouin         	                         	1	3	5	4	3	2							9	9	9	9
48	6	UNC  	S	4	Brian Cernoch            	                         			4	0	8	3	5	2					17	5	17	5
48	6	UNC  	S	5	Josh Peck                	                         					3	1	2	1	3	1			8	3	8	3
48	6	UNC  	S	6	Simon Soendergaard       	                         									4	2	6	3	10	5	11	6
48	6	UNC  	S	7	Logan Zapp               	                         									3	2	4	1	7	3	8	4
48	6	UNC  	S	8	Mac Kiger                	                         									3	1	5	5	8	6	8	6
48	6	UNC  	S	9	Anuj Watane              	                         													0	0	3	2
48	6	UNC  	S	10	Adam Neff                	                         													0	0	1	3
48	6	UNC  	S	11	peter Murphy             	                         													0	0	1	1
48	6	UNC  	S	12	Mark Dillon              	                         													0	0	2	2
48	6	UNC  	D	1	William Blumberg         	Brian Cernoch            	12	3											12	3	12	3
48	6	UNC  	D	2	Mac Kiger                	Simon Soendergaard       	2	2	8	5									10	7	10	7
48	6	UNC  	D	3	Rinky Hijikata           	Ben Sigouin              			2	2	3	3							5	5	5	5
48	6	UNC  	D	4	Peter Murphy             	Josh Peck                													0	0	0	0
49	7	TCU  	S	1	Alastair Gray            	                         	6	4	7	3									13	7	13	7
49	7	TCU  	S	2	Luc Fomba                	                         	5	3	7	3									12	6	12	6
49	7	TCU  	S	3	Sander Jong              	                         					10	5	0	2					10	7	11	8
49	7	TCU  	S	4	Jake Fearnley            	                         							4	2	2	0	2	1	8	3	8	3
49	7	TCU  	S	5	Tomas Jirousek           	                         					0	2	5	2	1	1			6	5	7	6
49	7	TCU  	S	6	Tadeas Paroulek          	                         							0	1	6	7	1	3	7	11	7	12
49	7	TCU  	S	7	Juan Martin              	                         									1	2	6	1	7	3	8	4
49	7	TCU  	S	8	Bertus Kruger            	                         									1	1	1	1	2	2	2	2
49	7	TCU  	S	9	Max Kurzban              	                         											0	1	0	1	0	3
49	7	TCU  	D	1	Alastair Gray            	Luc Fomba                	10	6	1	0									11	6	13	6
49	7	TCU  	D	2	Sander Jong              	Tadeas Paroulek          	0	1	8	1	2	1							10	3	11	4
49	7	TCU  	D	3	Bertus Kruger            	Jake Fearnley            			2	2	2	1							4	3	4	3
49	7	TCU  	D	4	Max Kurzban              	Tomas Jirousek           													0	0	0	0
16	8	A&M  	S	1	Valentin Vacherot        	                         	13	2	3	1									16	3	21	5
16	8	A&M  	S	2	Hady Habib               	                         	3	1	7	3									10	4	15	5
16	8	A&M  	S	3	Juan Carlos Aguilar      	                         			4	2	6	6							10	8	15	10
16	8	A&M  	S	4	Noah Schachter           	                         			2	0	3	5	7	5					12	10	19	13
16	8	A&M  	S	5	Pierce Rollins           	                         	1	0			1	0	2	2	3	3	1	0	8	5	15	9
16	8	A&M  	S	6	Guido Marson             	                         							3	1	2	5			5	6	7	9
16	8	A&M  	S	7	Raphael Perot            	                         							1	1	4	2	6	5	11	8	16	11
16	8	A&M  	S	8	Bjorn Thomson            	                         			1	0					0	2	4	3	5	5	8	5
16	8	A&M  	S	9	Pranav Kumar             	                         									1	0			1	0	1	2
16	8	A&M  	S	10	Kenner Taylor            	                         											1	0	1	0	6	3
16	8	A&M  	S	11	Austin Abbrat            	                         													0	0	1	1
16	8	A&M  	D	1	Jun Carlos Aguilar       	Bjorn Thomson            	7	6											7	6	10	8
16	8	A&M  	D	2	Valentin Vacherot        	Pierce Rollins           	1	0	5	3	6	2							12	5	15	5
16	8	A&M  	D	3	Pranav Kumar             	Noah Schachter           					7	4							7	4	7	4
16	8	A&M  	D	4	Hady Habib               	Kenner Taylor            													0	0	1	0
9	9	UCF  	S	1	GABRIEL DECAMPS          	                         	16	4											16	4	16	4
9	9	UCF  	S	2	ALAN RUBIO               	                         	1	0	8	5	1	0	2	2					12	7	12	7
9	9	UCF  	S	3	JUAN PABLO MAZZUCHI      	                         			3	1	10	4	2	0					15	5	15	5
9	9	UCF  	S	4	KENTO YAMADA             	                         					1	0	10	1	6	0			17	1	17	1
9	9	UCF  	S	5	TREY HILDERBRAND         	                         			0	1	5	1	2	1	10	1			17	4	17	4
9	9	UCF  	S	6	MIKHAIL SOKOLOVSKIY      	                         									1	1	13	4	14	5	14	5
9	9	UCF  	S	7	BOGDAN PAVEL             	                         									0	2	2	1	2	3	2	3
9	9	UCF  	S	8	QUINN SNYDER             	                         													0	0	0	0
9	9	UCF  	S	9	VASYL KISELYOV           	                         													0	0	0	0
9	9	UCF  	D	1	TREY HILDERBRAND         	BOGDAN PAVEL             	9	1											9	1	9	1
9	9	UCF  	D	2	JUAN PABLO MAZZUCHI      	GABRIEL DECAMPS          			8	2									8	2	9	1
