matchNum	line	round	date	time	seed	team	last	name	set1	set1tb	set2	set2tb	set3	set3tb	set4	set4tb	set5	set5tb	sets	def	rating	ewp	utr	ita	texas	teamId	tickerName	id	rowIndex
419	1	64	2021-05-22	0.6875		USD	Holmgren	August Holmgren	7		3		6						2		97.777	0.8271780169631395	13.46	85	27		Holmgren, August (USD)	416362	38
419	2	64	2021-05-22	0.6875		MISS	Sandkaulen	Tim Sandkaulen	5		6		4						1		95.057	0.17282198303686055	13.11	32	96		Sandkaulen, Tim (OM)	448641	39
420	1	64	2021-05-22	0.75		UVA	Von Der Schulenburg	Jeffrey Von Der Schulenburg	1		0										96.311	0.24067361907959045	13.35	44	35		Von Der Schulenburg, Jeffrey (UVA)	564166	40
420	2	64	2021-05-22	0.75	5	FLA	Vale	Duarte Vale	6		6								2		98.307	0.7593263809204095	13.59	4	14		Vale, Duarte (UF)	459591	41
421	1	64	2021-05-22	0.7708333333333334		SALA	Evrard	Julien Evrard	4		4										93.748	0.3175543517891844	12.8	75	125		Evrard, Julien (SAL)	562312	42
421	2	64	2021-05-22	0.7708333333333334		TENN	Prata	Martim Prata	6		6								2		95.077	0.6824456482108157	13.18	41	90		Prata, Martim (TEN)	497830	43
422	1	64	2021-05-22	0.625		TULN	Stewart	Hamish Stewart	4		7	7	3						1		96.506	0.5363454072336474	13.42	34	56		Stewart, Hamish (TLN)	454831	44
422	2	64	2021-05-22	0.625	9	UK	Diallo	Gabriel Diallo	6		6	4	6						2		96.253	0.4636545927663525	13.29	14	46		Diallo, Gabriel (UK)	511971	45
423	1	64	2021-05-22	0.5416666666666666		OSU	Kingsley	Cannon Kingsley	4		4										98.52	0.42910086216901844	13.64	107	7		Kingsley, Cannon (OSU)	511704	46
423	2	64	2021-05-22	0.5416666666666666		UNC	Blumberg	William Blumberg	6		6								2		99.016	0.5708991378309816	13.63	35	8		Blumberg, William (UNC)	390976	47
424	1	64	2021-05-22	0.5625		TLSA	Pearson	Kody Pearson	2		1										95.489	0.21545939110482673	13.16	50	75		Pearson, Kody (TUL)	487890	48
424	2	64	2021-05-22	0.5625	3	A&M	Habib	Hady Habib	6		6								2		97.734	0.7845406088951732	13.65	3	21		Habib, Hady (TAM)	412687	49
425	1	64	2021-05-22	0.4583333333333333		MIA	Barrera	Adria Soriano Barrera													96.206	0.6272376079854548	13.12	42	58		Soriano Barrera, Adria  (MIA)	453605	50
425	2	64	2021-05-22	0.4583333333333333		UK	Hurrion	Millen Hurrion												WO	95.302	0.3727623920145451	13.38	33	78		Hurrion, Millen (UK) (def.)	511970	51
426	1	64	2021-05-22	0.4583333333333333		NCST	Galarneau	Alexis Galarneau	6		6								2		98.2	0.7160727167665895	14.05	25	28		Galarneau, Alexis (NCS)	408573	52
426	2	64	2021-05-22	0.4583333333333333	9	UGA	Bryde	Trent Bryde	1		4										96.593	0.2839272832334107	13.47	15	49		Bryde, Trent (UGA)	498429	53
427	1	64	2021-05-22	0.6458333333333334		ILL	Kovacevic	Aleksandar Kovacevic	6		6								2		99.943	0.9284654656081702	13.97	131	1		Kovacevic, Aleksandar (ILL)	423252	54
427	2	64	2021-05-22	0.6458333333333334		AUB	Stice	Tyler Stice	3		2										95.49	0.07153453439182968	13.22	26	72		Stice, Tyler (AU)	513853	55
428	1	64	2021-05-22	0.7708333333333334		TEX	Spizzirri	Eliot Spizzirri	6		7								2		97.01	0.5043172397550599	13.34	23	25		Spizzirri, Eliot (TEX)	520306	56
428	2	64	2021-05-22	0.7708333333333334	7	TENN	Monday	Johannus Monday	4		5										96.98	0.49568276024494007	13.64	8	32		Monday, Johannus (TEN)	527971	57
429	1	64	2021-05-22	0.5416666666666666		OKST	Vocel	Matej Vocel	6		6								2		97.253	0.7744497777113449	13.47	37	40		Vocel, Matej (OKS)	487509	58
429	2	64	2021-05-22	0.5416666666666666		A&M	Aguilar	Juan Carlos Aguilar	3		1										95.11	0.22555022228865498	13.29	30	73		Aguilar, Juan Carlos (TAM)	384588	59
430	1	64	2021-05-22	0.5416666666666666		USC	Cukierman	Daniel Cukierman	6		6								2		98.929	0.7263726596367792	14.08	49	5		Cukierman, Daniel (USC)	399776	60
430	2	64	2021-05-22	0.5416666666666666	9	TCU	Gray	Alastair Gray	3		4										97.233	0.27362734036322084	13.64	12	24		Gray, Alastair (TCU)	411457	61
431	1	64	2021-05-22	0.4166666666666667		USF	Wojcik	Jacob Wojcik	6		6								2		94.898	0.24575930109323021	12.91	47	65		Wojcik, Jacob (USF)	464470	62
431	2	64	2021-05-22	0.4166666666666667		GT	McDaniel	Marcus McDaniel	3		2										96.846	0.7542406989067698	13.28	28	39		McDaniel, Marcus (GT)	513069	63
432	1	64	2021-05-22	0.4166666666666667		ETSU	Badra	Dimitri Badra	3		4										93.36	0.045401554492745376	12.82	66	138		Badra, Dimitri (ETS)	497676	64
432	2	64	2021-05-22	0.4166666666666667	2	SCAR	Rodrigues	Daniel Rodrigues	6		6								2		98.651	0.9545984455072547	13.81	2	9		Rodrigues, Daniel (SC)	485261	65
501	1	32	2021-05-23		1	UK	Draxl	Liam Draxl	3		6		6						2		99.354	0.7281994429952627	13.78	1	2		Draxl, Liam (UK)	511968	66
501	2	32	2021-05-23			ND	Nefve	Axel Nefve	6		3		4						1		97.642	0.27180055700473715	13.59	36	16		Nefve, Axel (ND)	487492	67
502	1	32	2021-05-23		9	TENN	Walton	Adam Walton	7	8	6								2		97.433	0.7905122606702043	13.48	10	29		Walton, Adam (TEN)	461891	68
502	2	32	2021-05-23			ILL	Clark	Zeke Clark	6	6	4										95.126	0.2094877393297957	13.3	95	60		Clark, Zeke (ILL)	397557	69
503	1	32	2021-05-23		8	UCF	Decamps	Gabriel Decamps	6		6								2		97.759	0.7050636386919864	13.69	9	20		Decamps, Gabriel (UCF)	401237	70
503	2	32	2021-05-23			FLA	Andrade	Andy Andrade	1		4										96.245	0.2949363613080135	13.39	18	36		Andrade, Andy (UF)	385909	71
504	1	32	2021-05-23		9	TCU	Fomba	Luc Fomba	6		3		6						2		97.226	0.6940547422119017	13.43	17	17		Fomba, Luc (TCU)	489297	72
504	2	32	2021-05-23			MSST	Oradini	Giovanni Oradini	2		6		0						1		95.803	0.3059452577880983	13.16	20	77		Oradini, Giovanni (MSU)	438580	73
505	1	32	2021-05-23		4	A&M	Vacherot	Valentin Vacherot	6		6								2		98.47	0.7581672896366088	13.73	5	6		Vacherot, Valentin (TAM)	459505	74
505	2	32	2021-05-23			USC	Smith	Riley Smith	1		2										96.485	0.2418327103633912	13.41	52	42		Smith, Riley (USC)	453064	75
506	1	32	2021-05-23			WAKE	Nava	Eduardo Nava	6	2	4										95.638	0.279037548052466	13.24	40	47		Nava, Eduardo (WF)	436186	76
506	2	32	2021-05-23			UNC	Hijikata	Rinky Hijikata	7	7	6								2		97.287	0.7209624519475339	13.62	24	19		Hijikata, Rinky (UNC)	514358	77
507	1	32	2021-05-23		6	FLA	Riffice	Sam Riffice	2		6		6						2		97.254	0.7225808449797919	13.61	6	26		Riffice, Sam (UF)	488586	78
507	2	32	2021-05-23			GT	Martin	Andres Martin	6		2		0						1		95.591	0.2774191550202081		46	74		Martin, Andres (GT)	513067	79
508	1	32	2021-05-23		9	MISS	Reynolds	Finn Reynolds	4		6	4									96.516	0.4629389123974389	13.31	16	59		Reynolds, Finn (OM)	520891	80
508	2	32	2021-05-23			WAKE	Montsi	Siphosothando Montsi	6		7	7							2		96.774	0.5370610876025611	13.33	110	22		Montsi, Siphosothando (ILL)	485650	81
509	1	32	2021-05-23			BAY	Boitan	Adrian Boitan	1		6		6						2		97.978	0.8133501829095263	13.49	21	13		Boitan, Adrian (BAY)	497587	82
509	2	32	2021-05-23			MSST	Broska	Florian Broska	6		1		2						1		95.421	0.18664981709047374	13.29	48	80		Broska, Florian (MSU)	392974	83
510	1	32	2021-05-23			USD	Holmgren	August Holmgren	4		7	7	6						2		97.777	0.4243130476235702	13.46	85	27		Holmgren, August (USD)	416362	84
510	2	32	2021-05-23		5	FLA	Vale	Duarte Vale	6		6	1	2						1		98.307	0.5756869523764298	13.59	4	14		Vale, Duarte (UF)	459591	85
511	1	32	2021-05-23			TENN	Prata	Martim Prata	6		2		2						1		95.077	0.3369401326015004	13.18	41	90		Prata, Martim (TEN)	497830	86
511	2	32	2021-05-23		9	UK	Diallo	Gabriel Diallo	4		6		6						2		96.253	0.6630598673984996	13.29	14	46		Diallo, Gabriel (UK)	511971	87
512	1	32	2021-05-23			UNC	Blumberg	William Blumberg	7		6								2		99.016	0.6765536566587286	13.63	35	8		Blumberg, William (UNC)	390976	88
512	2	32	2021-05-23		3	A&M	Habib	Hady Habib	5		2										97.734	0.32344634334127137	13.65	3	21		Habib, Hady (TAM)	412687	89
513	1	32	2021-05-23			MIA	Barrera	Adria Soriano Barrera	1		0										96.206	0.2408840804068213	13.12	42	58		Soriano Barrera, Adria  (MIA)	453605	90
513	2	32	2021-05-23			NCST	Galarneau	Alexis Galarneau	6		6								2		98.2	0.7591159195931788	14.05	25	28		Galarneau, Alexis (NCS)	408573	91
514	1	32	2021-05-23			ILL	Kovacevic	Aleksandar Kovacevic	6		6								2		99.943	0.8440097471130554	13.97	131	1		Kovacevic, Aleksandar (ILL)	423252	92
514	2	32	2021-05-23			TEX	Spizzirri	Eliot Spizzirri	1		3										97.01	0.15599025288694462	13.34	23	25		Spizzirri, Eliot (TEX)	520306	93
515	1	32	2021-05-23			OKST	Vocel	Matej Vocel	1		6		4						1		97.253	0.27592155054373707	13.47	37	40		Vocel, Matej (OKS)	487509	94
515	2	32	2021-05-23			USC	Cukierman	Daniel Cukierman	6		1		6						2		98.929	0.724078449456263	14.08	49	5		Cukierman, Daniel (USC)	399776	95
516	1	32	2021-05-23			USF	Wojcik	Jacob Wojcik	3		0										94.898	0.10336333086445293	12.91	47	65		Wojcik, Jacob (USF)	464470	96
516	2	32	2021-05-23		2	SCAR	Rodrigues	Daniel Rodrigues	6		6								2		98.651	0.8966366691355471	13.81	2	9		Rodrigues, Daniel (SC)	485261	97
601	1	16	2021-05-24	0.5	1	UK	Draxl	Liam Draxl	3		6		7						2		99.354	0.7513483536356714	13.78	1	2		Draxl, Liam (UK)	511968	98
601	2	16	2021-05-24	0.5	9	TENN	Walton	Adam Walton	6		4		5						1		97.433	0.24865164636432852	13.48	10	29		Walton, Adam (TEN)	461891	99
602	1	16	2021-05-24	0.5	8	UCF	Decamps	Gabriel Decamps	5		6		6						2		97.759	0.5761087390516627	13.69	9	20		Decamps, Gabriel (UCF)	401237	100
602	2	16	2021-05-24	0.5	9	TCU	Fomba	Luc Fomba	7		3		4						1		97.226	0.4238912609483373	13.43	17	17		Fomba, Luc (TCU)	489297	101
603	1	16	2021-05-24	0.5625	4	A&M	Vacherot	Valentin Vacherot	6		3		6						2		98.47	0.6639595169627828	13.73	5	6		Vacherot, Valentin (TAM)	459505	102
