matchid	schedtime	matchstatus	team1	player1	team2	player2	score	winner	mtime	id1	id2	matchNum
8818		(completed)	A&M 	Habib, Hady (TAM)            	UNC 	Blumberg, William (UNC)           	5,7,2,6          	2	1:24	412687	390976	512
8819		(completed)	MIA 	Soriano Barrera, Adria  (MIA)	NCST	Galarneau, Alexis (NCS)           	1,6,0,6          	2	0:58	453605	408573	513
8820		(completed)	ILL 	Kovacevic, Aleksandar (ILL)  	TEX 	Spizzirri, Eliot (TEX)            	6,1,6,3          	1	0:52	423252	520306	514
8821		(completed)	USC 	Cukierman, Daniel (USC)      	OKST	Vocel, Matej (OKS)                	6,1,1,6,6,4      	1	1:50	399776	487509	515
8822		(completed)	SCAR	Rodrigues, Daniel (SC)       	USF 	Wojcik, Jacob (USF)               	6,3,6,0          	1	1:06	485261	464470	516
8881		(completed)	UK  	Draxl, Liam (UK)             	TENN	Walton, Adam (TEN)                	3,6,6,4,7,5      	1	2:15	511968	461891	601
8882		(completed)	UCF 	Decamps, Gabriel (UCF)       	TCU 	Fomba, Luc (TCU)                  	5,7,6,3,6,4      	1	2:35	401237	489297	602
8883		(completed)	A&M 	Vacherot, Valentin (TAM)     	UNC 	Hijikata, Rinky (UNC)             	6,2,3,6,6,1      	1	1:43	459505	514358	603
8884		(completed)	FLA 	Riffice, Sam (UF)            	WAKE	Montsi, Siphosothando (ILL)       	6,2,6,0          	1	1:06	488586	485650	604
8885		(completed)	BAY 	Boitan, Adrian (BAY)         	USD 	Holmgren, August (USD)            	6,3,5,7,6,4      	1	2:33	497587	416362	605
8886		(completed)	UK  	Diallo, Gabriel (UK)         	UNC 	Blumberg, William (UNC)           	3,6,1,6          	2	0:57	511971	390976	606
8887		(completed)	NCST	Galarneau, Alexis (NCS)      	ILL 	Kovacevic, Aleksandar (ILL)       	6,4,4,6,0,6      	2	2:09	408573	423252	607
8888		(completed)	SCAR	Rodrigues, Daniel (SC)       	USC 	Cukierman, Daniel (USC)           	6,4,7,6,5        	1	1:53	485261	399776	608
8917		(completed)	UK  	Draxl, Liam (UK)             	UCF 	Decamps, Gabriel (UCF)            	7,6,6,6,1        	1	1:45	511968	401237	701
8918		(completed)	A&M 	Vacherot, Valentin (TAM)     	FLA 	Riffice, Sam (UF)                 	3,6,0,6          	2	1:08	459505	488586	702
8919		(completed)	BAY 	Boitan, Adrian (BAY)         	UNC 	Blumberg, William (UNC)           	6,4,6,1          	1	1:22	497587	390976	703
8920		(completed)	SCAR	Rodrigues, Daniel (SC)       	ILL 	Kovacevic, Aleksandar (ILL)       	6,1,6,3          	1	1:11	485261	423252	704
8933		(completed)	UK  	Draxl, Liam (UK)             	FLA 	Riffice, Sam (UF)                 	6,7,5,6,2,1,6    	2	2:13	511968	488586	801
8934		(completed)	SCAR	Rodrigues, Daniel (SC)       	BAY 	Boitan, Adrian (BAY) (ret.)       	7,6,1,3,1        	1	1:35	485261	497587	802
8938		(Warm Up)  	SCAR	Rodrigues, Daniel (SC)       	FLA 	Riffice, Sam (UF)                 	                 	0	    	485261	488586	901
