seed	team	name
  	AZST 	Marianna Argyrokastriti
  	AZST 	Natasha Hill
  	AZST 	Sammi Hampton
  	AZST 	Sa�a Klanecek
  	AZST 	Tereza Kolarova
  	BALL 	Amy Kaplan
  	BALL 	Becca Herrington
  	BALL 	Emily Desai
  	BALL 	Emma Peeler
  	BALL 	Jessica Braun
  	BALL 	Livia Lukacs
  	BALL 	Mariya Polishchuk
  	BALL 	Rebecca Herrington
  	BALL 	Silvia Martinez
  	BALL 	Silvia Martinez or Emily Desai
  	BALL 	Victoria Sec
  	BAMA 	Alba Cortina Pou
  	BAMA 	Anna Parkhomenko
  	BAMA 	Anne Marie Hiser
  	BAMA 	Loudmilla Bencheikh
  	BAMA 	Sydney Orefice
  	BAMA 	Sydney Riley
  	BU   	Alex Angyalosy
  	BU   	Dani Blaser
  	BU   	Emily Kim
  	BU   	Erica Di Battista
  	BU   	Erica DiBattista
  	BU   	Kaitlin Tan
  	BU   	Katya Martens
  	BU   	Lily Burchell
  	BU   	Mia Wallace
  	BU   	Shelly Yaloz
  	BU   	Stephanie Nguyen
  	BU   	Victoria Carlsten
  	CHSO 	khyanna singh
  	CHSO 	luiza fullana
  	CHSO 	madalina man
  	CHSO 	michelle schmitz
  	CHSO 	tiffany pyrtiz
  	CHSO 	tyler kirk
  	CHSO 	zoe cauthen
  	DEN  	Anna Riedmiller
  	DEN  	Britt Pursell
  	DEN  	Camille Verden-Anderson
  	DEN  	Hada Chang
  	DEN  	Tatum Burger
  	DEN  	Taylor Melville
  	DEN  	Toni Nelson
  	DRKE 	Daria Walczak
  	DRKE 	Darinka Stepan
  	DRKE 	Elizaveta Petushkova
  	DRKE 	Ines Stephani
  	DRKE 	Kelsey Neville
  	DRKE 	Kendall Hunt
  	DRKE 	Maria Tatarnikova
  	DRKE 	Megan Webb
  	DUKE 	chloe beck
  	DUKE 	ema lazic
  	DUKE 	georgia drummy
  	DUKE 	hannah zhao
  	DUKE 	karolina berankova
  	DUKE 	kelly chen
  	DUKE 	margaryta bilokin
  	DUKE 	meible chi
  	FIU  	Andjela Skrobonja
  	FIU  	Andreea Velcea
  	FIU  	Basak Akbas
  	FIU  	Francisca Vergara
  	FIU  	Kamila Umarova
  	FIU  	Kristina Miletic
  	FIU  	Marina Alcaide
  	FUR  	Carol Elizabeth Kerman
  	FUR  	Ellie Schoppe
  	FUR  	Eva Borders
  	FUR  	Ilayda Baykan
  	FUR  	Julia Adams
  	FUR  	Katarina Kozarov
  	FUR  	Madison Dillon
  	FUR  	Maggie Pate
  	FUR  	MaryAnn Rompf
  	GASO 	Charlotte van Diemen
  	GASO 	Elizabeth Goines
  	GASO 	Hannah Daniel
  	GASO 	Mila Hartig
  	GASO 	Nadja Meier
  	GASO 	Paula Boixader
  	GASO 	Paula Hijos
  	GASO 	Sara Barriendo
  	GASO 	Sonja Keranen
  	GASO 	Sophie Wagemaker
  	GCU  	Aline Buhr
  	GCU  	Autum Prudhomme
  	GCU  	Emilia Occhipinti
  	GCU  	Jana Weiss
  	GCU  	Joely Lomas
  	GCU  	Mathilde Lirzin
  	GCU  	Natahsa Puehse
  	GCU  	Natasha Puehse
  	GCU  	Taylor Andersen
  	ISU  	Chie Kezuka
  	ISU  	Christin Hsieh
