seed	team	player	wins	losses	r2Id	masseyId	utrId	notes	drawLine	line
 9	UCF  	Marie Mattel                 	 7	 4	497366	337584	1972251	  		  
 9	UCF  	Marion Deloziere             	 0	 1	563809	      	 279844	  		  
 9	UCF  	Nadja Bay Christians         	 1	 3	512071	338264	2766629	  		  
 9	UCF  	Nandini Sharma               	10	 2	487284	338267	  86257	  		  
 9	UCF  	Rebeka Stolmar               	12	 6	455036	337582	2089984	AL		 3
 9	UCF  	Sara Culbertson              	 1	 1	487282	337586	  72696	  		  
 9	UCF  	Valeriya Zeleva              	12	 2	497367	337581	1440881	AQ		59
10	A&M  	Dorthea Faa-Hviding          	14	 8	405619	336984	1873416	  		  
10	A&M  	Elise Robbins                	 6	 3	562573	336829	 104523	  		  
10	A&M  	Isa Di Laura                 	 5	 2	564259	336985	2095691	  		  
10	A&M  	Jayci Goldsmith              	15	10	489406	336979	  96545	  		  
10	A&M  	Jessica Anzo                 	10	 6	489468	336836	  76940	  		  
10	A&M  	Katya Townsend               	20	 9	489407	336833	  98367	  		  
10	A&M  	Lucia Quitero                	 3	 3	497310	336816	1871510	  		  
10	A&M  	Renee McBryde                	17	 4	489405	336981	 137388	  		  
10	A&M  	Riley McQuaid                	17	 9	432087	336821	  76891	  		  
10	A&M  	Tatiana Makarova             	25	 6	514440	336817	 161923	AL		61
11	FLA  	Amber McGinnis               	 1	 8	564248	337278	1784785	  		  
11	FLA  	Ida Jarlskog                 	 9	 4	489049	337273	  86275	  		  
11	FLA  	Layne Sleeth                 	 9	 1	511900	337810	2646671	  		  
11	FLA  	Marlee Zein                  	10	 9	489050	336758	2121868	  		  
11	FLA  	McCartney Kessler            	17	 2	421536	336945	 251050	AL		 9
11	FLA  	Sara Dahlstrom               	 9	12	561858	336765	1428869	  		  
11	FLA  	Sydney Berlin                	18	 5	497400	336768	 206869	  		  
12	LSU  	Anna Loughlan                	 2	 2	486237	336825	 200417	  		  
12	LSU  	Eden Richardson              	 8	12	445332	336822	1711831	  		  
12	LSU  	Maggie Cubitt                	 7	 4	511369	336644	 371687	  		  
12	LSU  	Nina Geissler                	15	 7	511370	336671	1711837	  		  
12	LSU  	Paris Corley                 	19	 4	486238	336647	1784621	AL		31
12	LSU  	Safiya Carrington            	10	11	511368	336657	2092219	  		  
12	LSU  	Samantha Buyckx              	11	 6	562070	336652	 100219	  		  
12	LSU  	Taylor Bridges               	13	11	486239	336654	 182253	AL		34
13	GT   	Ava Hrastar                  	13	 9	564715	337137	2062207	  		  
13	GT   	Carol Lee                    	14	12	564717	337136	2687942	  		  
13	GT   	Gia Cohen                    	 9	15	497851	337144	  96587	  		  
13	GT   	Kenya Jones                  	19	 8	419665	337134	  46803	AL		25
13	GT   	Mahak Jain                   	18	 7	564716	337135	1616216	  		  
13	GT   	Monika Dedaj                 	 4	 4	520776	337130	 274464	  		  
13	GT   	Rosie Garcia Gross           	 5	11	513566	337797	 117936	  		  
13	GT   	Ruth Marsh                   	 1	 4	564714	337138	  95662	  		  
13	GT   	Sophia Sassoli               	 1	 1	513568	337128	  95657	  		  
13	GT   	Victoria Flores              	19	 6	407152	337132	  72795	AL		44
14	UVA  	Amber ODell                  	10	 9	489690	337033	2533603	  		  
14	UVA  	Emma Navarro                 	19	 1	564450	337529	2517427	AL		17
14	UVA  	Hibah Shaikh                 	 9	10	564584	337036	 115463	  		  
14	UVA  	Natasha Subhash              	16	 5	511574	337047	2511980	AL		60
14	UVA  	Rosie Johanson               	17	 5	419112	337035	1712016	  		  
14	UVA  	Sofia Munera                 	 9	 8	489689	337037	2531990	  		  
14	UVA  	Vivian Glozman               	 8	 4	497882	337034	1231359	  		  
15	OSU  	Irina Cantos Siemers         	19	 6	511553	337123	2523252	AL		54
15	OSU  	Isabelle Boulais             	12	 6	490278	338602	2524101	  		  
15	OSU  	Kathleen Jones               	 1	 2	490279	337100	1623665	  		  
15	OSU  	Kolie Allen                  	10	13	490277	337093	2514416	  		  
15	OSU  	Lina Ali                     	 2	 2	564173	337104	2712358	  		  
15	OSU  	Lisa Hofbauer                	15	 8	564174	337114	1711836	  		  
15	OSU  	Lucia Marzal Martinez        	24	 3	521208	337120	2653420	  		  
15	OSU  	Luna Dormet                  	21	 1	490409	337124	 362848	  		  
15	OSU  	Madeline Atway               	 5	 3	564473	337110	1359986	  		  
15	OSU  	Tanisha Kashyap              	 5	 3	564175	337116	2067296	  		  
16	CAL  	Anna Bright                  	20	 3	392716	337319	  73705	  		  
