seed	team	player	wins	losses	r2Id	masseyId	utrId	notes	drawLine	line
R3	OKST 	Alana Wolfberg               	14	10	513080	336800	  96582	AL		27
R3	OKST 	Ayumi Miyamoto               	18	10	513082	336802	1538329	  		  
R3	OKST 	Bunyawi Thamchaiwat          	18	 4	497414	336799	2530163	AQ		35
R3	OKST 	Daniella Medvedeva           	 8	13	562307	336803	1621903	  		  
R3	OKST 	Dariya Detkovskaya           	16	 8	513083	336801	2550846	  		  
R3	OKST 	Draginja Vukovik             	 1	 0	564728	      	 227905	  		  
R3	OKST 	Lenka Stara                  	13	12	520711	336797	2528687	  		  
R3	OKST 	Lisa Marie Rioux             	 1	 1	489667	336798	2531097	  		  
R3	OKST 	Lora Boggs                   	 1	 8	513079	336939	2532335	  		  
R3	OKST 	Mary Streller                	 0	 2	562692	      	2589253	  		  
R3	RICE 	Anastasia Smirnova           	 4	 3	485982	338159	 363114	  		  
R3	RICE 	Anna Bowtell                 	14	 9	392024	336834	 114626	  		  
R3	RICE 	Diae El Jardi                	10	10	497358	336823	 149493	  		  
R3	RICE 	Federica Trevisan            	17	 6	562574	336830	2565095	  		  
R3	RICE 	Linda Huang                  	 8	 5	486224	336818	  81948	  		  
R3	RICE 	Maria Budin                  	15	11	510347	336832	1903621	  		  
R3	RICE 	Michaela Haet                	 9	12	412789	336815	 951760	  		  
R3	RICE 	Victoria Smirnova            	 5	 5	485988	336982	2096729	  		  
R3	SYR  	Guzal Yusupova               	 4	10	489241	339102	1711825	  		  
R3	SYR  	Ines Fonte                   	 1	 9	565196	338566	2700327	  		  
R3	SYR  	Miranda Ramirez              	 5	13	443972	337525	1712145	  		  
R3	SYR  	Natalie Novotna              	 9	 9	565198	338565	1872011	  		  
R3	SYR  	Polina Kozyreva              	11	 9	511873	337527	1972217	  		  
R3	SYR  	Sofya Treshcheva             	 1	 4	489239	337526	1727609	  		  
R3	SYR  	Viktoriya Kanapatskaya       	12	 5	564454	338564	 260988	AL		36
R3	SYR  	Zeynep Erman                 	 4	 5	521319	337669	 225701	  		  
R3	UCSB 	Camille Kiss                 	10	 4	567455	339477	1339362	  		  
R3	UCSB 	Elizaveta Volodko            	 9	 5	461199	339475	2086498	  		  
R3	UCSB 	Kira Reuter                  	 5	 7	567453	339677	1906645	  		  
R3	UCSB 	Lise Sentenac                	 6	 8	450664	339484	  83964	  		  
R3	UCSB 	Marta Gonzalez Balbe         	 7	 5	567454	339481	1424759	  		  
R3	UCSB 	Shakhnoza Khatmova           	15	 2	510745	339479	2527560	AQ		47
R3	UNF  	Ana Paula Melilo             	 8	 4	489951	337343	 284894	  		  
R3	UNF  	Annabelle Davis              	11	 1	564617	340187	 309399	  		  
R3	UNF  	Catherine Gulihur            	18	 5	564618	338082	1027294	  		  
R3	UNF  	Constanza Gorches            	13	 9	493947	337345	  53516	  		  
R3	UNF  	Florencia Rossi              	 1	 0	447106	346012	1970171	  		  
R3	UNF  	Kendall Nash                 	 2	 0	512714	339448	  99329	  		  
R3	UNF  	Lucia Montano                	14	 9	434231	337342	  75631	  		  
R3	UNF  	Sean Lodzki                  	 4	 1	500946	337349	1711957	  		  
R3	UNF  	Summer Yardley               	10	10	521107	337347	 169611	  		  
R3	UNF  	Valentina Mariotto           	 8	 8	429749	337346	  94614	  		  
R3	USC  	Angela Kulikov               	 0	 1	423901	339012	1711923	  		  
R3	USC  	Clare McKee                  	10	10	565236	337491	2583635	  		  
R3	USC  	Constance Branstine          	 2	 4	392389	339288	2142121	  		  
R3	USC  	Danielle Willson             	13	 8	485967	337486	1711838	  		  
R3	USC  	Eryn Cayetano                	11	 6	509808	337680	  95699	ALT		  
R3	USC  	Naomi Cheong                 	 9	 8	564452	337484	1689163	  		  
R3	USC  	Salma Ewing                  	14	 5	485966	337683	  67767	AL		63
R3	USC  	Summer Dvorak                	13	 8	565235	337488	  58873	  		  
R3	USD  	Abigail Desiatnikov          	12	 4	565867	339116	2535949	  		  
R3	USD  	Elisabeth Andryukhova        	 1	 1	565868	      	 236414	  		  
R3	USD  	Elizabeth Goldsmith          	11	 3	515117	338928	2526833	  		  
R3	USD  	Jessi Muljat                 	 5	 1	515116	338932	  70551	  		  
R3	USD  	Jordyn McBride               	14	 3	565869	338929	 100678	  		  
R3	USD  	Katharina Kukaras            	11	 4	423873	338930	 177317	  		  
R3	USD  	Solymar Colling              	14	 4	493373	338927	  72099	AL		 2
R3	USD  	Victoria Kalaitzis           	12	 4	565866	338931	2650492	  		  
R3	XAV  	Ahmeir Kyle                  	10	 4	424183	338436	1711909	AQ		32
R3	XAV  	Anna Roggenburk              	15	 4	514026	338437	1711867	  		  
R3	XAV  	Blessing Nwaozuzu            	 3	 3	566328	338622	2125599	  		  
R3	XAV  	Emily Thomas                 	 8	 4	492604	338440	1884920	  		  
R3	XAV  	Imani Graham                 	16	 4	566327	338439	1622545	  		  
R3	XAV  	Kaitlin Ruether              	 6	12	447493	338442	  99291	  		  
R3	XAV  	Kat Lyman                    	13	 4	566330	338438	2678873	  		  
R3	XAV  	Lucy Octave                  	 3	 4	566329	338922	2685743	  		  
R3	XAV  	Natalie Moyer                	 0	 3	492602	338924	 119837	  		  
R4	ALST 	Ana Tarbujaru                	 3	 3	565047	337518	1524435	  		  
R4	ALST 	Anja Hriblijan               	 0	 6	565046	337977	1602978	  		  
R4	ALST 	Bea Acena                    	 7	 6	512660	337517	 207451	  		  
R4	ALST 	Francesca Duca               	 8	 6	565048	337520	2688836	  		  
R4	ALST 	Lizaveta Dzemchanka          	 3	 0	565049	      	 272877	  		  
R4	ALST 	Madalena Andrade             	10	 3	512658	337515	 278630	  		  
R4	ALST 	Timothee Legaud              	 3	 5	565050	337519	1409251	  		  
R4	ALST 	Urska Velec                  	 8	 2	491897	337516	2603320	  		  
R4	BU   	Alex Angyalosy               	 2	 0	512756	340173	1533890	  		  
R4	BU   	Dani Blaser                  	 2	 0	390800	345676	1011688	  		  
R4	BU   	Emily Kim                    	 8	 3	421870	339231	  77134	  		  
R4	BU   	Erica Di Battista            	 6	 1	512752	339229	 407496	  		  
R4	BU   	Kaitlin Tan                  	 8	 0	568347	340168	 101854	  		  
R4	BU   	Katya Martens                	 4	 1	429993	339233	2138694	  		  
R4	BU   	Lily Burchell                	 8	 1	393806	339235	 958242	  		  
R4	BU   	Mia Wallace                  	 2	 0	512754	      	 180117	  		  
R4	BU   	Shelly Yaloz                 	 2	 2	489604	345660	  95677	  		  
R4	BU   	Sofia Kostirko               	 0	 1	512755	340501	 932652	  		  
R4	BU   	Stephanie Nguyen             	 2	 0	512753	339237	  66712	  		  
R4	BU   	Victoria Carlsten            	 4	 3	568348	339227	 215147	  		  
R4	CHSO 	Khyanna Singh                	 8	 9	564438	337386	1307523	  		  
R4	CHSO 	Luiza Fullana                	 7	 6	513184	337385	2337012	  		  
R4	CHSO 	Madalina Man                 	 9	 6	429324	337382	 242991	  		  
R4	CHSO 	Michelle Schmitz             	 9	 9	449669	337391	 208882	  		  
R4	CHSO 	Tiffany Pyritz               	 6	 7	487656	337381	 903434	  		  
R4	CHSO 	Tyler Kirk                   	 0	 4	422167	339679	 115977	  		  
R4	CHSO 	Zoe Cauthen                  	 9	 6	513183	337388	 100355	  		  
R4	DEN  	Anna Riedmiller              	14	 1	445479	337485	 925725	AQ		 8
R4	DEN  	Britt Pursell                	12	 4	511793	337671	  95702	  		  
R4	DEN  	Camille Verden-Anderson      	 8	 3	460514	337490	 290017	  		  
R4	DEN  	Hada Chang                   	 6	 2	396387	337489	  47061	  		  
R4	DEN  	tatum burger                 	 8	 7	486651	337487	1622519	  		  
R4	DEN  	Taylor Melville              	 9	 4	511792	337670	 802639	  		  
R4	DEN  	Toni Nelson                  	10	 2	486652	337672	 100428	  		  
R4	DRKE 	Daria Walczak                	 9	10	487789	338105	2599189	  		  
R4	DRKE 	Darinka Stepan               	10	 6	565848	338513	2514388	  		  
R4	DRKE 	Elizaveta Petushkova         	10	10	441314	338103	 272060	  		  
R4	DRKE 	Ines Stephani                	13	 5	565847	338512	 364174	  		  
R4	DRKE 	kelsey neville               	 9	 8	487791	338106	 119839	  		  
R4	DRKE 	Kendall Hunt                 	 0	 2	511403	338109	 897771	  		  
R4	DRKE 	Maria Tatarnikova            	12	 7	511402	338104	 142787	  		  
R4	DRKE 	Megan Webb                   	 1	 2	462447	338107	2600562	  		  
R4	GASO 	Charlotte Van Diemen         	 8	 6	459784	337384	 394694	  		  
R4	GASO 	Elizabeth Goines             	13	 8	410423	337389	1971490	  		  
R4	GASO 	Hannah Daniel                	 1	 0	400366	      	1463656	  		  
R4	GASO 	Mila Hartig                  	14	 5	413988	337390	  83266	  		  
R4	GASO 	Nadja Meier                  	15	10	505780	337383	2688860	  		  
R4	GASO 	Paula Boixader               	 8	10	391249	337380	2647459	  		  
R4	GASO 	Paula Hijos                  	13	 6	505781	337387	 493713	  		  
R4	GASO 	Sara Barriendo               	 2	 0	563645	      	1551902	  		  
R4	GASO 	Sonja Keranen                	 3	 0	563643	      	 274668	  		  
R4	GASO 	Sophie Wagemaker             	11	 7	563646	337568	 242538	  		  
R4	GCU  	Aline Buhr                   	 0	 3	564212	      	 268920	  		  
R4	GCU  	Autum Prudhomme              	 6	11	443177	337243	 196911	  		  
R4	GCU  	Emilia Occhipinti            	11	 5	437887	337241	1895710	  		  
R4	GCU  	Jana Weiss                   	13	 4	515242	337242	 154526	  		  
R4	GCU  	Joely Lomas                  	 8	 9	564213	337549	  93375	  		  
R4	GCU  	Natasha Puehse               	12	 4	515241	337240	2494062	  		  
R4	GCU  	Taylor Andersen              	 9	 7	564211	337244	2572318	  		  
R4	LIU  	Bianca Compuesto             	 6	 0	514357	340530	1327412	  		  
R4	LIU  	Ekaterine Jorjoliani         	 7	 1	510116	340531	 227898	  		  
R4	LIU  	Elinor Storkaas              	 3	 5	510115	340529	1890936	  		  
R4	LIU  	Jasmine Maduel               	 0	 1	559623	      	 769129	  		  
R4	LIU  	Phoebe Watton                	 2	 0	510117	      	 219078	  		  
R4	LIU  	Sofiya Kuzina                	 8	 2	510118	340524	 224650	  		  
R4	LIU  	Valentina Dancenco           	 7	 0	514355	340526	 115084	  		  
R4	LIU  	Victoria Erechtchenko        	 7	 2	510119	340527	 274601	  		  
R4	NAU  	Aleksandra Buczynska         	 1	 0	565349	      	1959981	  		  
R4	NAU  	Ava Neyestani                	11	 7	565347	337538	  96524	  		  
R4	NAU  	Eleanor Millard              	11	 5	433181	337530	 114417	  		  
R4	NAU  	Elinor Beazley               	 8	 6	510760	337536	 253151	  		  
R4	NAU  	Gina Dittmann                	15	 1	565346	337532	1618836	  		  
R4	NAU  	Madison Moore                	 6	 9	434461	337540	1887494	  		  
R4	NAU  	Mimi Bland                   	14	 3	510759	337534	 278284	  		  
R4	PEAY 	Aleksandra Topalovic         	 9	 6	509681	337660	 169612	  		  
R4	PEAY 	Ana Albertson                	 1	 2	384878	337661	2163878	  		  
R4	PEAY 	Danielle Morris              	 9	 5	486162	337657	1636183	  		  
R4	PEAY 	Fabienne Schmidt             	10	 6	449601	337656	 281123	  		  
R4	PEAY 	Honoka Nakanishi             	 7	 4	497416	339452	2541957	  		  
R4	PEAY 	Jana Leder                   	12	 2	520580	337658	 212738	  		  
R4	PEAY 	Martina Paladini Jennings    	 7	 7	509680	337659	2554764	  		  
R4	SCST 	Anabel Aguil Ramirez         	 3	 2	572199	      	2767271	  		  
R4	SCST 	Anais Peralta                	 0	 1	572200	      	 998660	  		  
R4	SCST 	Andjela Mihajlovic           	 2	 7	433075	340756	 393669	  		  
R4	SCST 	Hind Semlali                 	 6	 3	572197	      	2767275	  		  
R4	SCST 	Ikram Rassif                 	 4	 3	501650	340758	 201692	  		  
R4	SCST 	Lajla Cemalovic              	 0	 2	524902	340759	 266017	  		  
R4	SCST 	Lasya Patnaik                	 6	 3	501649	340757	 244281	  		  
R4	SCST 	Rachida Berjane              	 6	 3	572198	      	2767282	  		  
R4	SIEN 	Anastasia Koniaev            	 6	 3	513507	341070	  96586	  		  
R4	SIEN 	Emma Boggiali                	 6	 3	569351	341069	1712445	  		  
R4	SIEN 	Kylie Mullaney               	 3	 5	435352	341066	 943601	  		  
R4	SIEN 	Maanya Viswanath             	 5	 2	513506	341716	 819044	  		  
R4	SIEN 	Meagan Brown                 	 7	 4	494009	341065	1784989	  		  
R4	SIEN 	Nanea Perkins                	 0	 1	440923	341068	  76908	  		  
R4	SIEN 	Petra Miszczak               	 4	 5	522290	341067	2557178	  		  
R4	SIEN 	Shelby Madeiros              	 3	 0	569353	      	1712292	  		  
R4	SJSU 	Alba Pedrero Galindo         	11	 4	489387	339758	2096067	  		  
R4	SJSU 	Irena Muradyan               	14	 1	567102	338965	 271466	  		  
R4	SJSU 	Jovana Babic                 	 7	 3	567103	338967	 243040	  		  
R4	SJSU 	Lara Marco Mas               	 6	 6	515341	339940	 373896	  		  
R4	SJSU 	Raquel Villan Pereira        	 9	 3	567104	340361	2746163	  		  
R4	SJSU 	Rozalina Youseva             	 6	 7	515342	338961	1287716	  		  
R4	SJSU 	Savannah Sendar              	 4	 3	450636	339939	 342975	  		  
R4	SJSU 	Tamara Culibrk               	 0	 2	399784	338964	  47128	  		  
R4	TAMCC	Camille Townsend             	14	 6	490973	337662	  98368	  		  
R4	TAMCC	Emma Aucagne                 	22	 1	562421	337282	 281186	  		  
R4	TAMCC	Emma Honore                  	15	 7	512358	337281	 273251	  		  
R4	TAMCC	Jordan Ortega                	 4	 0	512356	337285	1973102	  		  
R4	TAMCC	Kateryna Rublevska           	 4	 0	562423	      	 274870	  		  
R4	TAMCC	Leopoldine Boisseau          	17	 4	562422	337283	 275193	  		  
R4	TAMCC	Mariya Shumeika              	19	 3	490974	337280	 286884	  		  
R4	TAMCC	Victoire Delattre            	17	 3	512357	337284	 273244	  		  
R4	UIC  	Agnes Gustafsson             	13	 8	565637	338007	 244323	  		  
R4	UIC  	Ana Jover                    	16	 4	565633	338009	1891188	  		  
R4	UIC  	Georgia Gulin                	15	 3	491970	338012	2671565	  		  
R4	UIC  	Lucie Prochazkova            	15	 2	491968	338008	  74576	  		  
R4	UIC  	Marina Hermanny De Figueiredo	 2	 0	516203	      	 238433	  		  
R4	UIC  	Nell Arendt                  	12	 3	491966	338441	 246666	  		  
R4	UIC  	Tamara Malazonia             	 9	12	565635	338006	 219271	  		  
R4	UIC  	Tuva Wallin                  	 6	 5	565636	338011	 277488	  		  
R4	VCU  	Alessia Ciuca                	10	12	564693	337455	2634239	  		  
R4	VCU  	Gabriela Davidescu           	10	 9	511010	337456	 218269	  		  
R4	VCU  	Kanako Yano                  	 0	 3	465332	337459	  86298	  		  
R4	VCU  	Lara Van Der Merwe           	 2	 1	564694	      	2096028	  		  
R4	VCU  	Luminita Tutunaru            	 7	12	511009	337724	1711882	  		  
R4	VCU  	Noumea Witmus                	13	 6	464381	337460	 103511	  		  
R4	VCU  	Paola Delgado                	16	 3	401582	337452	1712174	AQ		50
R4	VCU  	Shivani Manjanna             	11	 7	524777	337462	 125173	  		  
  	IOWA 	Alexa Noel                   	23	 0	564451	337750	  96507	AQ		29
  	MIZZ 	Bronte Murgett               	16	 7	526971	336940	 219074	AL		28
  	ORE  	Janice Tjen                  	18	 3	565743	337962	 229187	AL		46
  	UMD  	Ayana Akli                   	15	 3	514025	338332	 130782	AL		38
  	WASH 	Vanessa Wong                 	18	 4	464666	338013	  83224	AL		10
