line	seed	team	kind	position	player	partner	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses
48	6	NCST 	S	3	Adriana Reami            	                         	1	0			12	4	2	1					15	5	16	9
48	6	NCST 	S	4	Jaeda Daniel             	                         			1	0	0	2	10	6					11	8	13	10
48	6	NCST 	S	5	Abigail Rencheli         	                         									5	2	5	2	10	4	13	5
48	6	NCST 	S	6	Lexi Keberle             	                         					1	0			10	2	2	4	13	6	16	8
48	6	NCST 	S	7	Millie Rajecki           	                         									1	0	3	2	4	2	6	5
48	6	NCST 	S	8	Lana Mavor               	                         							1	0			1	0	2	0	6	0
48	6	NCST 	S	9	Liz Norman               	                         											1	0	1	0	3	1
48	6	NCST 	D	1	Anna Rogers              	Alana Smith              	14	5											14	5	20	8
48	6	NCST 	D	2	Jaeda Daniel             	Adriana Reami            			12	4									12	4	20	5
48	6	NCST 	D	3	Millie Rajecki           	Abigail Rencheli         					11	1							11	1	12	2
48	6	NCST 	D	4	Lexi Keberle             	Lana Mavor               													0	0	0	0
49	7	FSU  	S	1	Giulia Pairone           	                         	11	8											11	8	13	8
49	7	FSU  	S	2	Emmanuelle Salas         	                         	0	1	5	6	1	0	1	2					7	9	7	10
49	7	FSU  	S	3	Nandini Das              	                         			2	4	6	4	3	0					11	8	12	8
49	7	FSU  	S	4	Petra Hule               	                         			0	1	1	1	4	0	7	1			12	3	13	3
49	7	FSU  	S	5	Victoria Allen           	                         					1	0	3	4	7	0			11	4	12	5
49	7	FSU  	S	6	Anna Arkadianou          	                         					1	4	1	0	1	0			3	4	4	5
49	7	FSU  	S	7	Andrea Garcia            	                         							0	1	2	0	15	2	17	3	19	3
49	7	FSU  	S	8	Alice Amendola           	                         											1	1	1	1	2	3
49	7	FSU  	D	1	Emmanuelle Salas         	Victoria Allen           	5	3											5	3	5	3
49	7	FSU  	D	2	Nandini Das              	Andrea Garcia            			8	4	6	0							14	4	17	4
49	7	FSU  	D	3	Petra Hule               	Giulia Pairone           					5	1							5	1	6	1
49	7	FSU  	D	4	Anna Arkadianou          	Alice Amendola           													0	0	0	0
16	8	BAY  	S	1	Melany Krywoj            	                         	11	6											11	6	19	10
16	8	BAY  	S	2	Jessica Hinojosa         	                         	3	1	7	6	2	3							12	10	18	15
16	8	BAY  	S	3	Alicia Herrero           	                         	2	2	7	2	4	4							13	8	20	13
16	8	BAY  	S	4	Angie Shakhraichuck      	                         					6	1	6	4	2	0	3	0	17	5	24	10
16	8	BAY  	S	5	Kristina Sorokolet       	                         			1	0	2	0	0	1	4	1	4	1	11	3	18	5
16	8	BAY  	S	6	Paula Baranano           	                         							2	0	5	1	5	2	12	3	12	3
16	8	BAY  	S	7	Audrey Boch-Collins      	                         									3	1	7	1	10	2	16	3
16	8	BAY  	S	8	Sara Ziodato             	                         							1	1	1	1	1	0	3	2	3	2
16	8	BAY  	S	9	Hannah Pinto             	                         													0	0	1	5
16	8	BAY  	D	1	Shakhraichuk             	Krywoj                   	9	1											9	1	9	1
16	8	BAY  	D	2	Hinojosa                 	Sorokolet                	0	1	1	4	1	1							2	6	2	6
16	8	BAY  	D	3	Herrero                  	Boch-Collins             					5	0							5	0	5	0
16	8	BAY  	D	4	Baranano                 	Ziodato                  													0	0	0	0
9	9	UCF  	S	1	Valeriya Zeleva          	                         	9	2	3	0									12	2	13	3
9	9	UCF  	S	2	Rebeka Stolmar           	                         	4	1	7	4	1	1							12	6	14	7
9	9	UCF  	S	3	Evgeniya Levashova       	                         	1	1	3	2	6	2	1	0					11	5	11	5
9	9	UCF  	S	4	Ksenia Kuznetsova        	                         			1	1	2	2	6	0	2	0			11	3	11	3
9	9	UCF  	S	5	Marie Mattel             	                         					2	0	2	3	2	0	0	1	6	4	6	4
9	9	UCF  	S	6	Nadja Bay                	                         					1	0	0	1	0	2			1	3	1	3
9	9	UCF  	S	7	Jaleesa Leslie           	                         							2	1	6	2	5	1	13	4	13	5
9	9	UCF  	S	8	Nandini Sharma           	                         									3	0	7	2	10	2	12	3
9	9	UCF  	S	9	Sara Culbertson          	                         											1	1	1	1	1	1
9	9	UCF  	S	10	Marion Deloziere         	                         											0	1	0	1	0	1
9	9	UCF  	D	1	Rebeka Stolmar           	Marie Mattel             	4	7	1	0									5	7	5	7
9	9	UCF  	D	2	Ksenia Kuznetsova        	Valeriya Zeleva          	4	3	8	0									12	3	12	3
9	9	UCF  	D	3	Evgeniya Levashova       	Nadja Bay                			3	2	4	1							7	3	7	3
9	9	UCF  	D	4	Nandini Sharma           	Jaleesa Leslie           			1	0	1	0							2	0	2	0
56	10	A&M  	S	1	Tatiana Makarova         	                         	12	4	3	0									15	4	23	6
56	10	A&M  	S	2	Jayci Goldsmith          	                         	2	2	9	7									11	9	13	10
56	10	A&M  	S	3	Katya Townsend           	                         			2	0	9	6							11	6	18	9
56	10	A&M  	S	4	Dorthea Faa-Hviding      	                         			1	0	2	0	7	6	3	0			13	6	14	7
56	10	A&M  	S	5	Renee McBryde            	                         					1	0	3	2	10	1			14	3	17	4
56	10	A&M  	S	6	Riley McQuaid            	                         									3	0	8	5	11	5	16	9
56	10	A&M  	S	7	Isa DiLaura              	                         									1	0	2	1	3	1	5	2
56	10	A&M  	S	8	Elise Robbins            	                         											1	0	1	0	6	3
56	10	A&M  	D	1	Tatiana Makarova         	Jayci Goldsmith          	11	9	2	0									13	9	18	9
56	10	A&M  	D	2	Renee McBryde            	Dorthea Faa-Hviding      			8	5									8	5	8	5
56	10	A&M  	D	3	Riley McQuaid            	Katya Townsend           					5	3							5	3	7	3
56	10	A&M  	D	4	Isa DiLaura              	Elise Robbins            					1	0							1	0	2	1
41	11	FLA  	S	1	McCartney Kessler        	                         	13	2											13	2	16	2
41	11	FLA  	S	2	Marlee Zein              	                         			6	5	2	0							8	5	10	8
41	11	FLA  	S	3	Ida Jarlskog             	                         			2	2	6	2							8	4	8	4
41	11	FLA  	S	4	Layne Sleeth             	                         							7	0	1	1	1	0	9	1	9	1
41	11	FLA  	S	5	Sara Dahlstrom           	                         							3	4	3	4			6	8	9	11
41	11	FLA  	S	6	Sydney Berlin            	                         									5	1	6	3	11	4	16	5
41	11	FLA  	S	7	Amber McGinnis           	                         									0	1	1	6	1	7	1	7
41	11	FLA  	D	1	McCartney Kessler        	Marlee Zein              	9	6											9	6	13	7
41	11	FLA  	D	2	Ida Jarlskog             	Layne Sleeth             			6	0									6	0	6	0
41	11	FLA  	D	3	Sara Dahlstrom           	Sydney Berlin            					3	5							3	5	6	7
24	12	LSU  	S	1	Taylor Bridges           	                         	7	7											7	7	13	10
24	12	LSU  	S	2	Safiya Carrington        	                         	1	1	2	5									3	6	10	10
24	12	LSU  	S	3	Paris Corley             	                         					6	2	2	1	2	0			10	3	18	4
24	12	LSU  	S	4	Maggie Cubitt            	                         							4	1	1	0			5	1	6	4
24	12	LSU  	S	5	Eden Richardson          	                         					2	3	0	1	2	2			4	6	8	11
