date	position	team1	winner	team2	loser	where	rating	winnerId	loserId	score	status	eventid
20210520	3	TENN	Martim Prata             	UGA 	Philip Henning             	N	N	497830	498428	6-3, 6-6        	U	1770
20210520	4	TENN	Luca Wiedenmann          	UGA 	Blake Croyder              	N	C	463457	487816	4-6, 6-2, 6-3   	F	1770
20210520	5	TENN	Giles Hussey             	UGA 	Billy Rowe                 	N	C	513101	562702	6-2, 2-6, 2-0   	U	1770
20210520	6	TENN	Andrew Rogers            	UGA 	Erik Grevelius             	N	C	446520	511567	6-3, 7-5        	F	1770
20210520	1	BAY 	Adrian Boitan            	TCU 	Alastair Gray              	N	N	497587	411457	4-6, 6-5        	U	1772
20210520	2	BAY 	Matias Soto              	TCU 	Luc Fomba                  	N	C	453651	489297	6-4, 6-4        	F	1772
20210520	3	BAY 	Sven Lah                 	TCU 	Jake Fearnley              	N	N	424430	514378	6-3, 6-1        	F	1772
20210520	4	BAY 	Nick Stachowiak          	TCU 	Tomas Jirousek             	N	C	562412	521012	7-5, 2-3        	U	1772
20210520	5	TCU 	Tadeas Paroulek          	BAY 	Charlie Broom              	N	N	516558	527260	6-2, 6-4        	F	1772
20210520	6	BAY 	Spencer Furman           	TCU 	Bertus Kruger              	N	N	562413	423670	7-5, 6-1        	F	1772
20210520	1	USC 	Daniel Cukierman         	TEX 	Eliot Spizzirri            	N	C	399776	520306	6-4, 2-6, 6-1   	F	1774
20210520	2	TEX 	Micah Braswell           	USC 	Riley Smith                	N	C	528270	453064	6-4, 6-3        	F	1774
20210520	3	USC 	Stefan Dostanic          	TEX 	Siem Woldeab               	N	C	510835	513841	6-4, 4-6, 6-3   	F	1774
20210520	4	TEX 	Cleeve Harper            	USC 	Bradley Frye               	N	C	513840	486015	6-4, 3-6, 7-5   	F	1774
20210520	5	TEX 	Chih Chi Huang           	USC 	Lodewijk Weststrate        	N	C	486712	563765	6-2, 0-6, 6-3   	F	1774
20210520	6	USC 	Jake Sands               	TEX 	Evin McDonald              	N	C	486016	513843	6-4, 6-4        	F	1774
20210520	1	FLA 	Duarte Vale              	A&M 	Valentin Vacherot          	N	C	459591	459505	6-7(5), 6-1, 6-2	F	1776
20210520	2	FLA 	Sam Riffice              	A&M 	Hady Habib                 	N	C	488586	412687	7-6(5), 6-4     	F	1776
20210520	3	FLA 	Andy Andrade             	A&M 	Juan Carlos Aguilar        	N	C	385909	384588	6-3, 4-6, 4-3   	U	1776
20210520	4	FLA 	Blaise Bicknell          	A&M 	Noah Schachter             	N	C	509770	485543	6-3, 6-4        	F	1776
20210520	5	FLA 	Ben Shelton              	A&M 	Pierce Rollins             	N	C	561860	513401	6-2, 7-5        	F	1776
20210520	6	FLA 	Josh Goodger             	A&M 	Guido Marson               	N	C	511775	485531	7-6(6), 3-6, 3-2	U	1776
20210521	1	BAY 	Adrian Boitan            	TENN	Adam Walton                	N	N	497587	461891	3-6, 7-5, 5-5   	U	1782
20210521	2	BAY 	Matias Soto              	TENN	Johannus Monday            	N	C	453651	527971	7-6(3), 4-6, 7-5	F	1782
20210521	3	BAY 	Sven Lah                 	TENN	Martim Prata               	N	N	424430	497830	6-0, 6-3        	F	1782
20210521	4	BAY 	Nick Stachowiak          	TENN	Luca Wiedenmann            	N	C	562412	463457	1-6, 6-2, 6-4   	F	1782
20210521	5	TENN	Giles Hussey             	BAY 	Charlie Broom              	N	N	513101	527260	6-4, 6-2        	F	1782
20210521	6	BAY 	Spencer Furman           	TENN	Andrew Rogers              	N	N	562413	446520	6-3, 6-2        	F	1782
20210521	1	FLA 	Duarte Vale              	TEX 	Eliot Spizzirri            	N	C	459591	520306	6-4, 5-6        	U	1784
20210521	2	FLA 	Sam Riffice              	TEX 	Micah Braswell             	N	C	488586	528270	7-6(3), 3-2     	U	1784
20210521	3	FLA 	Andy Andrade             	TEX 	Siem Woldeab               	N	C	385909	513841	6-3, 7-5        	F	1784
20210521	4	FLA 	Blaise Bicknell          	TEX 	Cleeve Harper              	N	N	509770	513840	6-1, 7-5        	F	1784
20210521	5	FLA 	Ben Shelton              	TEX 	Chih Chi Huang             	N	N	561860	486712	6-3, 6-0        	F	1784
20210521	6	FLA 	Josh Goodger             	TEX 	Evin McDonald              	N	C	511775	513843	6-2, 4-6, 4-3   	U	1784
20210522	4	FLA 	Blaise Bicknell          	BAY 	Nick Stachowiak            	N	N	509770	562412	1-0             	U	1788
20210522	6	FLA 	Josh Goodger             	BAY 	Spencer Furman             	N	N	511775	562413	1-0             	U	1788
