seed	team	name	kind	position	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses	r2Id	r2Id2
 4	TEX  	Eliot Spizzirri                     	S	 1	 9	 6	5 	2 	1 	0	  	 	  	  	  	  	15	 8	22	 9	520306	      
 4	TEX  	Micah Braswell                      	S	 2	  	  	9 	4 	8 	1	  	 	  	  	  	  	17	 5	32	 6	528270	      
 4	TEX  	Siem Woldeab                        	S	 3	 3	 4	1 	2 	5 	1	  	 	  	  	  	  	 9	 7	14	12	513841	      
 4	TEX  	Cleeve Harper                       	S	 4	  	  	  	  	3 	2	14	3	  	  	  	  	17	 5	22	 9	513840	      
 4	TEX  	Chih Chi Huang                      	S	 5	  	  	  	  	  	 	2 	1	9 	7 	  	  	11	 8	15	17	486712	      
 4	TEX  	Evin McDonald                       	S	 6	  	  	  	  	  	 	1 	0	4 	1 	6 	9 	11	10	15	16	513843	      
 4	TEX  	Nevin Arimilli                      	S	 7	  	  	  	  	  	 	  	 	  	  	5 	1 	 5	 1	 9	 9	486710	      
 4	TEX  	Leighton Allen                      	S	 8	  	  	  	  	  	 	  	 	  	  	1 	0 	 1	 0	 5	11	528269	      
 4	TEX  	Payton Holden                       	S	 9	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 6	 3	528271	      
 4	TEX  	Jacob Bullard                       	S	10	  	  	  	  	  	 	  	 	0 	1 	  	  	 0	 1	 9	 7	513842	      
 4	TEX  	Eshan Talluri                       	S	11	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 4	 7	513844	      
 4	TEX  	Spizzirri/Woldeab                   	D	 1	12	 9	  	  	  	 	  	 	  	  	  	  	12	 9	19	 9	520306	513841
 4	TEX  	Harper/Huang                        	D	 2	 1	 0	5 	4 	  	 	  	 	  	  	  	  	 6	 4	10	 7	513840	486712
 4	TEX  	Braswell/Holden                     	D	 3	  	  	  	  	4 	1	  	 	  	  	  	  	 4	 1	 7	 2	528270	528271
 4	TEX  	Arimilli/McDonald                   	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 1	 0	486710	513843
 5	UVA  	Carl Söderlund                      	S	 1	12	 2	  	  	  	 	  	 	  	  	  	  	12	 2	12	 2	453365	      
 5	UVA  	Jeffrey von der Schulenburg         	S	 2	 2	 1	7 	2 	6 	1	1 	0	  	  	  	  	16	 4	16	 4	564166	      
 5	UVA  	Chris Rodesch                       	S	 3	  	  	0 	1 	6 	2	3 	1	5 	2 	  	  	14	 6	14	 6	564151	      
 5	UVA  	Inaki Montes de la Torre            	S	 4	  	  	5 	3 	4 	1	6 	0	  	  	  	  	15	 4	15	 4	564150	      
 5	UVA  	Ryan Goetz                          	S	 5	 1	 0	1 	1 	2 	0	5 	3	7 	1 	  	  	16	 5	16	 5	486444	      
 5	UVA  	Gianni Ross                         	S	 6	  	  	  	  	  	 	1 	0	3 	0 	7 	3 	11	 3	11	 3	447059	      
 5	UVA  	William Woodall                     	S	 7	  	  	  	  	  	 	  	 	1 	0 	2 	2 	 3	 2	 3	 2	486442	      
 5	UVA  	Alexander Kiefer                    	S	 8	  	  	  	  	  	 	  	 	1 	1 	3 	3 	 4	 4	 4	 4	564149	      
 5	UVA  	Matthew Lord                        	S	 9	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	      	      
