seed	team	name
  	AAMU 	Panji Setiawan
  	AAMU 	Rodrigo Arana Rios
  	ARIZ 	Alejandro Reguant
  	ARIZ 	Carlos Hassey
  	ARIZ 	Conner Olsen
  	ARIZ 	Filip Malbasic
  	ARIZ 	Gustaf Strom
  	ARIZ 	Herman Hoeyeraal
  	ARIZ 	Hiroki Sakagawa
  	ARIZ 	Igor Karpovets
  	ARIZ 	Jared Horwood
  	ARIZ 	Jett Middleton
  	ARIZ 	Jett MIddleton
  	ARIZ 	Jonas Ziverts
  	ARIZ 	Nick Lagaev
  	ARK  	Adrien Burdet
  	ARK  	Aleksa Bucan
  	ARK  	Alex Reco
  	ARK  	Avery Zavala
  	ARK  	Enrique Paya
  	ARK  	Foster Rogers
  	ARK  	Hunter Harrison
  	ARK  	Jose Dominguez Alonso
  	ARK  	Josh Bortnick
  	ARK  	Max Verboven
  	ARK  	Melvin Manuel
  	ARK  	Nico Rouset
  	ARK  	Nico Rousett
  	ARK  	Riccardo Trione
  	AZST 	Christian Lerby
  	AZST 	George Stoupe
  	AZST 	Jonah Wilson
  	AZST 	Makey Rakotomalala
  	AZST 	Max McKennon
  	AZST 	Moritz Hoffmann
  	AZST 	Nathan Ponwith
  	AZST 	Nathan Ponwtih
  	AZST 	Spencer Brachman
  	AZST 	Tim Ruehl
  	BAMA 	Alexey Nesterov
  	BAMA 	Avi Shugar
  	BAMA 	Edson Ortiz
  	BAMA 	Gabriel Diaz Freire
  	BAMA 	Jeremy Gschwendtner
  	BAMA 	Marcelo Sepulveda Garza
  	BAMA 	Patrick Kaukovalta
  	BAMA 	Riccardo Roberto
  	BAMA 	Rudi Christiansen
  	BAMA 	Sam Fischer
  	BAMA 	Vincent Rettke
  	BAMA 	Zhe Zhou
  	BEL  	Alfred Wallin
  	BEL  	Arthur Toledo
  	BEL  	David Faulkner
  	BEL  	Diego Castro
  	BEL  	Grant Kelly
  	BEL  	Jake Briggs
  	BEL  	Marko Ilic
  	BEL  	Taisei Miyamoto
  	BEL  	Tomas Luis
  	CLEV 	Austin Staiger
  	CLEV 	Clark Bilinovich
  	CLEV 	Jack Santilli
  	CLEV 	Juandedios Abboud
  	CLEV 	Kade Mindry
  	CLEV 	Luke Phillips
  	CLEV 	Matt Terry
  	CLEV 	Maxime Mareschal-Hay
  	CLEV 	Nico Mostardi
  	CLEV 	Raul Teichmann
  	DEN  	Charlie Miller
  	DEN  	Daniel Krulig
  	DEN  	Ignacio Rivero Crespo
  	DEN  	James Davis
  	DEN  	John Zakowski
  	DEN  	Matt Summers
  	DEN  	Mattia Ros
  	DEN  	Nicolas Herrero Cuesta
  	DEN  	Peter Sallay
  	DEP  	Boris Spanjaard
  	DEP  	Christopher Casati
  	DEP  	Fran Tonejc
  	DEP  	Lars Minsaas
  	DEP  	Luuk Wassenaar
  	DEP  	Sunny Sirinit
  	DEP  	Tamas Zador
  	DEP  	Tripp Tuff
  	DEP  	Vito Tonejc
  	DUKE 	Andrew Dale
  	DUKE 	Andrew Zhang
  	DUKE 	Edu Guell
  	DUKE 	Faris Khan
  	DUKE 	Garrett Johns
  	DUKE 	Luca Keist
  	DUKE 	Michael Heller
  	DUKE 	Sean Sculley
  	ETSU 	Dimitri Badra
  	ETSU 	Frazier Rengifo
  	ETSU 	Juan Lugo
  	ETSU 	Juan Zabala
  	ETSU 	Miguel Este
  	ETSU 	MIguel Este
  	ETSU 	Milo Bargeron
  	ETSU 	Thiago Pernas
  	FDU  	andrei oprisor
  	FDU  	andris gudins
  	FDU  	arjun sriram
  	FDU  	dennis espiritu
  	FDU  	eduardo cabral
  	FDU  	maciej autuch
  	FDU  	moric budinszky
  	FDU  	niclas pietsch
  	FDU  	taiga koyama
  	FDU  	teodors pukse
  	FDU  	youssef sader
  	FGCU 	Alessandro Conca
  	FGCU 	Carter Bradford
  	FGCU 	Feliksas Sakalauskas
  	FGCU 	Felipe Ramirez
  	FGCU 	Guglielmo Stefanacci
  	FGCU 	Juan Montes
  	FGCU 	Magnus Johnson
  	FGCU 	Max Damm
  	FGCU 	Pedro Maciel
  	FGCU 	Randy Wilson
  	GCU  	Freddie Grant
  	GCU  	Jiri Novak
  	GCU  	Jonathan Da Silva
  	GCU  	Justin Cvitanovic
  	GCU  	Loic Van Zeggelaar
  	GCU  	Mariano Argote
  	GCU  	Valentin Lang
  	GCU  	Wolmar Boris-Moller
  	GT   	Andres Martin
  	GT   	Brandon Freestone
  	GT   	Brandon McKinney
  	GT   	Chen Dong
  	GT   	Keshav Chopra
  	GT   	Marcus McDaniel
  	GT   	Pablo Schelcher
  	GT   	Zummy Bauer
  	LIB  	Christiaan Worst
  	LIB  	Deji Thomas-Smith
  	LIB  	Goncalo Ferreira
  	LIB  	Josh Wilson
  	LIB  	Nicaise Muamba
  	LIB  	Rafael Marques Da Silva
  	LIB  	Steve Mundt
  	LIB  	Thando Longwe-Smit
  	LIB  	Zion Heaven
  	LSU  	Ben Koch
  	LSU  	Benjamin Ambrosio
  	LSU  	Boris Kozlov
  	LSU  	Joao Graca
  	LSU  	Joey Thomas
  	LSU  	Nick Watson
  	LSU  	Rafael Wagner
  	LSU  	Ronald Hohmann
  	LSU  	Tomas Descarrega
  	MEM  	Antoine Marleau
  	MEM  	David Stevenson
  	MEM  	James Story
  	MEM  	Jan Pallares
  	MEM  	Jeremy Taylor
  	MEM  	Oscar Cutting
  	MEM  	Patrick Sydow
  	MEM  	Pau Fanlo
  	MIA  	Adria Soriano Barrera
  	MIA  	Benjamin Hannestad
  	MIA  	Bojan Jankulovski
  	MIA  	Franco Aubone
  	MIA  	Oren Vasser
  	MIA  	Stefan Milicevic
  	MIA  	Stephen Madonia
  	MICH 	Andrew Fenty
  	MICH 	Connor Johnston
  	MICH 	Harrison Brown
  	MICH 	Harry Brown
  	MICH 	Jacob Bickersteth
  	MICH 	Jonathan Yaffe
  	MICH 	Kristofer Siimar
  	MICH 	Mattias Siimar
  	MICH 	Nick Beaty
  	MICH 	Nino Ehrenschneider
  	MICH 	Ondrej Styler
  	MICH 	Patrick Maloney
  	MICH 	Ryan Fu
  	MICH 	Teddy Oosterbaan
  	MONM 	Arthur Dussaubat
  	MONM 	Austin Klapman
  	MONM 	Charles Gortzounian
  	MONM 	Christof Zeiler
  	MONM 	Diego Laporta
  	MONM 	Gabriel Busato
  	MONM 	Lucca Silva
  	MONM 	Max Benaim
  	MONM 	Sergio Martinez
  	MONM 	Victor Castro
  	MONM 	William Cooke Wharton
  	MSST 	Alberto Colas
  	MSST 	Carles Hernandez
  	MSST 	Davide Tortora
  	MSST 	Florian Broska
  	MSST 	Giovanni Oradini
  	MSST 	Gregor Ramskogler
  	MSST 	Nemanja Malesevic
  	MSST 	Nicolas Ocana
  	MSST 	Stedman Strickland
  	MTSU 	Andreas Kramer
  	MTSU 	Christopher Edge
  	MTSU 	Francisco Rocha
  	MTSU 	Max Rauch
  	MTSU 	Oskar Michalek
  	MTSU 	Patrick Kristensen
  	MTSU 	Pavel Motl
  	MTSU 	Sean Presson
  	MTSU 	Stijn Slump
  	MTSU 	Tom Moonen
  	NAU  	Alexander Groves
  	NAU  	Christopher Steele
  	NAU  	Daniel Dillon
  	NAU  	Dominik Buzonics
  	NAU  	Eban Straker-Meads
  	NAU  	Facundo Tumosa
  	NAU  	Joachim Schaefer
  	NAU  	Maciej Ziomber
  	NAU  	Marcus Sulen
  	NAU  	Mikael Purne
  	NAVY 	Andrew Ton
  	NAVY 	Christian Pumpelly
  	NAVY 	Connors O'Brien
  	NAVY 	Derrick Thompson
  	NAVY 	Finn Garner
  	NAVY 	Gavin Segraves
  	NAVY 	Jack Dabek
  	NAVY 	Jack McBride
  	NAVY 	Jake Fishkin
  	NAVY 	Sash Panyan
  	NAVY 	Sasha Panyan
  	NCST 	Alexis Galarneau
  	NCST 	Braden Shick
  	NCST 	Collin Shick
  	NCST 	Joseph Schrader
  	NCST 	Martins Rocens
  	NCST 	Rafael Izquierdo Luque
  	NCST 	Robert Turzak
  	NCST 	Robin Catry
  	NCST 	Tadas Babelis
  	NCST 	Tristan Smith
  	NCST 	Yannai Barkai
  	ND   	Andrew Mariados
  	ND   	Axel Nefve
  	ND   	Braeden Ho
  	ND   	Brandon Ancona
  	ND   	Connor Fu
  	ND   	Jean-Marc Malkowski
  	ND   	Matt Halpin
  	ND   	Matthew Che
  	ND   	Matthew Gamble
  	ND   	Richard Ciamarra
  	ND   	Tristan McCormick
  	ND   	William Howells
  	NW   	Abhijeet Joshi
  	NW   	Chris Ephron
  	NW   	Dominik Stary
  	NW   	Gleb Blekher
  	NW   	Natan Spear
  	NW   	Nick Brookes
  	NW   	Presley Thieneman
  	NW   	Simen Bratholm
  	NW   	Steven Forman
  	NW   	Trice Pickens
  	OKLA 	Alex Martinez
  	OKLA 	Jake Van Emburgh
  	OKLA 	Jonathan Sheehy
  	OKLA 	Justin Schlageter
  	OKLA 	Mark Mandlik
  	OKLA 	Mason Beiler
  	OKLA 	Matt Rodriguez
  	OKLA 	Max Stewart
  	OKLA 	Nathan Han
  	OKLA 	Welsh Hotard
  	OKST 	Emile Hudd
  	OKST 	Etienne Donnet
  	OKST 	Henrik Korsgaard
  	OKST 	Luke Hammond
  	OKST 	Matej Vocel
  	OKST 	Mathieu Scaglia
  	OKST 	Matisse Bobichon
  	OKST 	Max Tybar
